M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,TRIP_START_TIME,TRIP_SEQUENCE,TOTAL_TRAVEL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WAITING_TIME_FIRST_STATION,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WAITING_TIME_FINAL_STATION,BICYCLE_USE,WALKING_TIME_SECOND_STOP,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,BICYCLES,OTHERS
Jalahalli (green line),Jayanagar (green line),"Jayanagar,4th block, Starbucks ",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),"Peenya 2nd stage,anupama school ",Home (ಮನೆ),10:45:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),75,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),1,Walk (ನಡಿಗೆ),10,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),5,6,"Ordinary Monthly Pass (ಆರ್ಡಿನರಿ ಮಂತ್ಲಿ ಪಾಸ್), Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್)",50,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"50,001 – 1,00,000",0,1,0,0
Dasarahalli (green line),Trinity (purple line),Trinity commercial street,School/College (ಶಾಲೆ/ಕಾಲೇಜು),Dasrahalli saptagri hospital ,Other (ಇತರೆ),10:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),75,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),5,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),15,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),5,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),2,5,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),100,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),,0,0,0,0
Peenya (green line),Cubbon Park (purple line),"Cubbon park, museum of art and photography ",Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),"Yeshwantpur,HMT road",Home (ಮನೆ),10:40:00,Metro (ಮೆಟ್ರೋ),50,Walk (ನಡಿಗೆ),10,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),2,Walk (ನಡಿಗೆ),3,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,No (ಇಲ್ಲ),35,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),>2 Lakhs,1,1,2,0
"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Dasarahalli (green line),"Dasarahalli,  500m near metro Dasarahalli ",Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),"Electronic city, near metro station Electronic city",Home (ಮನೆ),09:30:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),100,Walk (ನಡಿಗೆ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),10,Walk (ನಡಿಗೆ),5,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),5,7,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),40,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),"<=10,000",0,0,0,0
Jalahalli (green line),Baiyappanahalli (purple line),"Nagawara, madhina hotel",Other (ಇತರೆ),Peenya 2nd stage balaji nagar,Home (ಮನೆ),09:30:00,Metro+bus1+bus2,150,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),30,> 5 km (>5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),5,5,No (ಇಲ್ಲ),200,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Not eligible (ಅರ್ಹರಾಗಿಲ್ಲ),Metro (ಮೆಟ್ರೋ),Metro (ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),,0,0,0,0
Jalahalli (green line),Sandal Soap Factory (green line),Orion mall,Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),Nagasandra,Home (ಮನೆ),10:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),30,Walk (ನಡಿಗೆ),15,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),2,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),2,2,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),25,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),>2 Lakhs,3,3,1,0
Jayanagar (green line),Mahatma Gandhi Road (purple line),"Mg road, chruch st",Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),Jayanagar kr road ,Home (ಮನೆ),10:30:00,Metro (ಮೆಟ್ರೋ),25,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),6,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),0,Walk (ನಡಿಗೆ),2,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),29,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),,0,1,0,0
Konanakunte Cross (green line),Baiyappanahalli (purple line),Byappanahalli banaswadi anmaneya temple,Social/Religious place (ಸಾಮಾಜಿಕ/ಧಾರ್ಮಿಕ ಸ್ಥಳ),Konankunte prestige falcon city,Home (ಮನೆ),10:30:00,Metro (ಮೆಟ್ರೋ),50,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),20,> 5 km (>5 ಕೀ. ಮೀ),5,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),15,2.5 km to 3 km (2.5 ರಿಂದ 3 ಕೀ. ಮೀ),5,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),160,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),> 60 yrs (>60 ವರ್ಷ),Doctorate (ಡಾಕ್ಟರೇಟ್),Unemployed/Retired/Homemaker (ನಿರುದ್ಯೋಗಿ/ನಿವೃತ್ತ/ಮನೆಕೆಲಸ),,1,0,0,0
Nagasandra (green line),Chickpet (green line),"NT Pete, kodanda Rama swamy temple near",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),"Madanayakanahalli, kudurigere colony ",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),11:00:00,Metro (ಮೆಟ್ರೋ),30,Dropped-off by friends/others (ಸ್ನೇಹಿತರು/ಇತರರಿಂದ ಡ್ರಾಪ್-ಆಫ್),5,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),1,Walk (ನಡಿಗೆ),5,"< 0.5 km (<0.5 ಕೀ. ಮೀ,)",,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,No (ಇಲ್ಲ),40,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),< 10th Std. (< 10ನೇ ತರಗತಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"50,001 – 1,00,000",0,2,0,0
Rashtreeya Vidyalaya Road (green line),Mahalakshmi (green line),Iskon temple rajajinagar,Social/Religious place (ಸಾಮಾಜಿಕ/ಧಾರ್ಮಿಕ ಸ್ಥಳ),Silk board bus stop,Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),10:30:00,Metro (ಮೆಟ್ರೋ),70,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),10,3.5 km to 4 km (3.5 ರಿಂದ 4 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),7,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,No crowding  - Most (>75%) seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 75% ಗಿ೦ತ ಹೆಚ್ಚು ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"1,00,001 – 2,00,000",0,1,0,0
