ID,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,AGE,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
48,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,0,1,1,30.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
50,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
53,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
61,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
64,4,3.2399999999999993,0.6479999999999999,0.144,0.7199999999999999,0,0,0,1,1,22.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
68,3,8.999999999999998,1.7999999999999998,1.0799999999999998,5.399999999999999,0,0,1,0,0,22.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
71,2,3.5999999999999996,0.72,0.36,1.7999999999999998,0,1,0,0,1,54.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
72,3,0.7199999999999999,0.144,2.0,10.0,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
73,4,1.7999999999999998,0.36,0.072,0.35999999999999993,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
76,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
78,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
80,4,19.599999999999998,3.92,0.144,0.7199999999999999,0,0,0,1,0,30.0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
81,2,5.399999999999999,1.0799999999999998,2.67,13.35,0,1,0,0,0,22.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
84,4,2.1599999999999997,0.43199999999999994,0.72,3.5999999999999996,0,0,0,1,0,40.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
85,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
86,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
90,4,1.0799999999999998,0.21599999999999997,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
92,3,1.7999999999999998,0.36,0.504,2.52,0,0,1,0,0,22.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
93,4,2.52,0.504,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
94,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
96,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,0,1,0,22.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
97,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
102,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,30.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
104,3,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
106,3,3.5999999999999996,0.72,0.8639999999999999,4.319999999999999,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
108,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
110,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,1,30.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
112,2,3.5999999999999996,0.72,0.72,3.5999999999999996,0,1,0,0,0,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
113,4,5.399999999999999,1.0799999999999998,1.44,7.199999999999999,0,0,0,1,0,22.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
114,1,23.520000000000003,4.704000000000001,0.21599999999999997,1.0799999999999998,1,0,0,0,0,22.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
117,4,10.0,2.0,0.576,2.8799999999999994,0,0,0,1,0,22.0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
120,2,1.7999999999999998,0.36,0.36,1.7999999999999998,0,1,0,0,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
124,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,1,54.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
126,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,1,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
127,4,1.7999999999999998,0.36,0.504,2.52,0,0,0,1,1,30.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
129,4,1.7999999999999998,0.36,0.9359999999999999,4.68,0,0,0,1,1,30.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
132,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,0,1,1,40.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
135,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,0,1,1,30.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
137,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
139,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
140,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
144,4,1.7999999999999998,0.36,0.504,2.52,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
146,3,5.399999999999999,1.0799999999999998,1.0799999999999998,5.399999999999999,0,0,1,0,0,22.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
147,4,2.52,0.504,0.504,2.52,0,0,0,1,1,22.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
149,4,0.35999999999999993,0.072,0.36,1.7999999999999998,0,0,0,1,1,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
152,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
153,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
154,3,5.399999999999999,1.0799999999999998,0.72,3.5999999999999996,0,0,1,0,1,30.0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
155,1,3.5999999999999996,0.72,0.144,0.7199999999999999,1,0,0,0,0,22.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
156,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,1,22.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
159,4,2.52,0.504,0.9359999999999999,4.68,0,0,0,1,0,54.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
165,4,0.35999999999999993,0.072,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
166,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
169,1,7.199999999999999,1.44,0.36,1.7999999999999998,1,0,0,0,0,22.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
174,3,7.199999999999999,1.44,0.504,2.52,0,0,1,0,1,30.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
175,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
176,1,1.7999999999999998,0.36,0.072,0.35999999999999993,1,0,0,0,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
179,4,1.7999999999999998,0.36,0.072,0.35999999999999993,0,0,0,1,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
181,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
184,3,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
185,1,0.35999999999999993,0.072,0.144,0.7199999999999999,1,0,0,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
187,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
188,3,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,0,22.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
189,3,7.199999999999999,1.44,1.44,7.199999999999999,0,0,1,0,1,30.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
190,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
194,4,2.52,0.504,0.72,3.5999999999999996,0,0,0,1,1,30.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
195,3,7.199999999999999,1.44,0.72,3.5999999999999996,0,0,1,0,1,30.0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
196,3,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,0,30.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
197,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
199,1,1.7999999999999998,0.36,0.072,0.35999999999999993,1,0,0,0,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
200,4,0.7199999999999999,0.144,1.568,7.84,0,0,0,1,0,30.0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
203,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,1,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
204,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,1,30.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
205,1,1.7999999999999998,0.36,0.36,1.7999999999999998,1,0,0,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
206,3,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
208,3,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,0,1,22.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
209,2,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,1,0,0,0,22.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
210,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,1,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
211,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
212,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
213,1,5.0,1.0,0.21599999999999997,1.0799999999999998,1,0,0,0,1,40.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
214,4,13.35,2.67,0.144,0.7199999999999999,0,0,0,1,0,30.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
215,3,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
217,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
218,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,1,30.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
219,4,2.8799999999999994,0.576,0.36,1.7999999999999998,0,0,0,1,1,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
223,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,0,65.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
226,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,1,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
227,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
230,1,1.0799999999999998,0.21599999999999997,0.36,1.7999999999999998,1,0,0,0,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
231,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
233,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,1,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
235,4,2.52,0.504,1.0799999999999998,5.399999999999999,0,0,0,1,1,22.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
237,3,1.7999999999999998,0.36,0.576,2.8799999999999994,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
238,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
243,3,2.8799999999999994,0.576,0.576,2.8799999999999994,0,0,1,0,1,30.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
244,3,7.199999999999999,1.44,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
245,4,0.7199999999999999,0.144,0.144,0.7199999999999999,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
248,4,3.5999999999999996,0.72,0.144,0.7199999999999999,0,0,0,1,0,22.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
249,3,0.7199999999999999,0.144,0.576,2.8799999999999994,0,0,1,0,1,30.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
250,3,5.399999999999999,1.0799999999999998,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
252,3,7.199999999999999,1.44,1.44,7.199999999999999,0,0,1,0,1,30.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
253,4,2.8799999999999994,0.576,1.44,7.199999999999999,0,0,0,1,1,40.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
256,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
257,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,1,40.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
258,3,3.5999999999999996,0.72,0.504,2.52,0,0,1,0,1,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
261,1,5.399999999999999,1.0799999999999998,0.144,0.7199999999999999,1,0,0,0,0,22.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
263,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,0,1,1,30.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
266,1,1.7999999999999998,0.36,0.504,2.52,1,0,0,0,0,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
268,4,2.8799999999999994,0.576,0.36,1.7999999999999998,0,0,0,1,1,30.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
269,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,0,40.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
272,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
273,3,1.7999999999999998,0.36,0.504,2.52,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
275,3,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,0,30.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
276,4,7.84,1.568,0.36,1.7999999999999998,0,0,0,1,1,54.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
277,4,2.52,0.504,0.72,3.5999999999999996,0,0,0,1,1,40.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
279,4,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,0,0,0,1,1,40.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
280,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,1,54.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
281,4,3.5999999999999996,0.72,0.504,2.52,0,0,0,1,1,30.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
282,4,3.5999999999999996,0.72,2.67,13.35,0,0,0,1,1,30.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
285,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
287,4,5.399999999999999,1.0799999999999998,0.72,3.5999999999999996,0,0,0,1,1,22.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
288,3,13.35,2.67,0.144,0.7199999999999999,0,0,1,0,0,22.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
289,4,1.0799999999999998,0.21599999999999997,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
290,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
292,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
295,3,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,1,30.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
296,4,2.52,0.504,0.504,2.52,0,0,0,1,0,22.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
297,4,2.1599999999999997,0.43199999999999994,0.144,0.7199999999999999,0,0,0,1,1,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
299,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
301,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,54.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
302,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
303,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
304,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
305,3,1.7999999999999998,0.36,0.576,2.8799999999999994,0,0,1,0,0,22.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
310,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,30.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
311,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
316,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,1,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
318,4,2.1599999999999997,0.43199999999999994,0.144,0.7199999999999999,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
319,4,5.399999999999999,1.0799999999999998,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
329,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,30.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
331,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
332,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
333,4,0.7199999999999999,0.144,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
334,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,0,1,1,30.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
336,4,1.0799999999999998,0.21599999999999997,0.504,2.52,0,0,0,1,1,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
339,4,0.7199999999999999,0.144,1.0799999999999998,5.399999999999999,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
343,3,5.399999999999999,1.0799999999999998,1.44,7.199999999999999,0,0,1,0,0,30.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
345,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
347,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,1,30.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
348,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
349,2,1.7999999999999998,0.36,0.36,1.7999999999999998,0,1,0,0,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
350,4,1.0799999999999998,0.21599999999999997,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
351,2,1.7999999999999998,0.36,0.72,3.5999999999999996,0,1,0,0,0,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
352,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
354,2,1.7999999999999998,0.36,0.144,0.7199999999999999,0,1,0,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
358,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,54.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
359,2,1.7999999999999998,0.36,0.72,3.5999999999999996,0,1,0,0,0,30.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
361,1,3.5999999999999996,0.72,0.36,1.7999999999999998,1,0,0,0,1,54.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
362,1,3.5999999999999996,0.72,0.72,3.5999999999999996,1,0,0,0,0,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
363,3,1.7999999999999998,0.36,0.504,2.52,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
365,2,1.0799999999999998,0.21599999999999997,0.72,3.5999999999999996,0,1,0,0,0,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
366,4,2.52,0.504,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
367,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
369,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
