ID,MAX_US,O_LEVEL,OM_LEVEL,A_LEVEL_DIFF,A_SLOPE_TYPE,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_LAT,D_LONG,E_DISTANCE_MAP,E_TIME_MAP,D_TYPE,O_LANDMARK,O_LAT,O_LONG,A_DISTANCE_MAP,A_TIME_MAP,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B,VEHICLE
2293,,927,923,-4,flat,Mahalakshmi (green line),National College (green line),National college ,,,,,School,Anjaneya temple,13.00944418,77.54734159,0.4,6,Home,12:50:00,Metro ,30,Dropped-off by friends/family members/others ,8,0.5 to 1 km ,8,Walk ,8,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,3,1,1,1,2,2,1,0,8,1,2,2,1
971,,906,898,-8,flat,Jalahalli ,,"Rajarajeshwari nagar, sports authority of India ",,,,,Home,Archarya institute ,13.03512038,77.51932888,0.85,12,School,15:00:00,Metro ,60,Walk ,10,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For access trip only ,,,No ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"<=10,000",0,0,0,0,0,10,-1,1,3,1,1,2,1,1,1,1,1,2,1,0
2425,,905,911,6,rise,Yelachenahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Uparpete police station ,,,,,Work,Ashrama road,12.89780576,77.57068682,0.28,4,Home,10:05:00,Metro ,30,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0,2,0,0,"No, I will not use a bicycle. .",15,4,2,1,1,2,2,2,4,0,1,1,2,2,1
1759,,866,842,-24,fall,Attiguppe (purple line),Mantri Square Sampige Road (green line),Mantri square ,12.99119275,77.57053854,,,Work,"Attiguppe, Chandra layout",12.95446045,77.52170945,2,27,Home,11:30:00,Metro ,30,Walk ,10,0.5 to 1 km ,7,Walk ,2,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Business,,1,3,0,0,"No, I will not use a bicycle. .",5,4,2,1,1,1,2,1,1,0,1,1,2,1,1
1259,,924,898,-26,flat,Dasarahalli (green line),Mahatma Gandhi Road (purple line),Chruch street,,,,,Other,"Ayyapa school ,dasarahalli",13.05048121,77.51974698,1.4,18,Home,00:30:00,Metro ,50,Walk ,20,0.5 to 1 km ,8,Walk ,4,< 0.5 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,8,1,1,1,2,1,1,0,1,1,2,1,1
365,,918,899,-19,fall,Jalahalli (green line),Lalbagh (green line),"Shanti nagar, Lalbagh ",,,,,Work,"Ayyappa temple, jalahalli ",13.04666509,77.5214567,1,5,Home,15:45:00,Metro ,45,Two-Wheeler ,2,0.5 to 1 km ,7,Auto Rickshaw ,20,3.5 km to 4 km ,5,For neither access nor egress trips ,,,Metro card ,100,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Business,>2 Lakhs,2,3,0,0,0,10,-1,2,1,1,3,2,8,4,1,3,5,2,4,1
413,,908,926,18,rise,Banashankari (green line),Vajarahalli (green line),"Balaji layout, Bangalore one",,,,,Work,"Banashankari, narasimha Swami temple ",12.91518039,77.56557753,1,15,Home,09:00:00,Metro ,30,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,"10,001 â€“ 25,000",0,0,1,0,0,10,-1,2,1,1,2,2,2,4,1,1,1,2,2,0
1473,,915,912,-3,rise,Krishna Rajendra Market (green line),Nagasandra (green line),Hasragatta main road,,,,,Home,Bangalore medical college ,12.95941438,77.57573222,0.3,4,School,15:25:00,Metro ,60,Walk ,10,0.5 to 1 km ,2,Car ,20,2.5 km to 3 km ,,For access trip only ,,,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,"1,00,001 â€“ 2,00,000",1,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,1,3,1,2,2,6,1,0,1,4,2,4,1
1445,,902,928,26,rise,Banashankari (green line),Krantivira Sangolli Rayanna Railway Station (purple line),Arogya soudha,,,,,School,"Banshankri,2nd stage",12.92491045,77.56467542,1.8,27,Work,12:25:00,Metro ,40,Walk ,10,0.5 to 1 km ,10,Walk ,4,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0,2,0,0,"No, I will not use a bicycle. .",5,4,3,2,1,2,2,1,1,1,1,1,2,1,1
2108,,905,897,-8,fall,Halasuru (purple line),Vijayanagar (purple line),"Vijaynagar,near Udupi kitchen ",,,,,Work,Bazar street ,12.97545318,77.62223852,0.5,7,Home,08:00:00,Metro ,30,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,,0,1,0,0,"No, I will not use a bicycle. .",15,4,2,1,1,3,2,2,4,1,1,1,2,2,1
1919,,915,912,-3,rise,Krishna Rajendra Market (green line),Srirampura (green line),Devaiah park,,,,,Home,BIT college ,12.95941438,77.57573222,0.3,4,School,14:00:00,Metro ,20,Walk ,10,0.5 to 1 km ,9,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0,2,0,0,"No, I will not use a bicycle. .",15,4,1,3,1,1,2,2,4,0,1,1,2,2,1
312,,932,907,-25,fall,National College (green line),Silk Institute (green line),Silk institute metro near,,,,,Home,BMS college ,12.94087856,77.56471474,1.7,25,School,11:47:00,Metro ,25,Walk ,5,0.5 to 1 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,1,2,0,0,0,10,-1,1,3,1,1,2,2,4,1,1,1,2,2,1
2268,,931,916,-15,fall,Sandal Soap Factory (green line),Baiyappanahalli (purple line),Bagmane- tech park ,,,,,Work,Brigade gateway,13.01101459,77.55761349,2.1,29,Home,10:50:00,Metro ,90,Dropped-off by friends/family members/others ,5,0.5 to 1 km ,8,Company cab,10,2 km to 2.5 km ,1,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,>2 Lakhs,2,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,1,3,2,5,4,0,8,10,2,4,1
136,,925,921,-4,fall,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Pantharapalya - Nayandahalli (purple line),"Nayandahalli,Anjani pharma ",12.93822479,77.52818504,1.4,21,Work,"Central college ,Chickpete",12.97583021,77.58560088,0.22,3,Work,10:15:00,Metro ,20,Walk ,10,0.5 to 1 km ,5,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0,1,0,0,0,10,-1,2,2,1,2,2,2,4,0,1,1,2,2,1
511,,910,897,-13,fall,Mantri Square Sampige Road (green line),Cubbon Park (purple line),Cubbon park,,,,,Home,"Chaitanya college, malleshwaram ",12.99392687,77.57800438,1,14,School,15:00:00,Metro ,45,Walk ,10,0.5 to 1 km ,4,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,12th,Student,,0,0,0,0,0,10,-1,1,3,1,1,2,3,3,1,1,1,2,3,0
1945,,900,914,-14,fall,Krishna Rajendra Market (green line),Yelachenahalli (green line),Jyothi layout ,,,,,Home,"Chamrajpet ,adarsh group of institutions ",12.95610422,77.56129676,1.7,25,School,15:55:00,Metro ,30,Walk ,12,0.5 to 1 km ,8,Walk ,5,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,1,3,1,1,2,2,2,0,1,1,2,2,1
1754,,875,866,-10,fall,Attiguppe (purple line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",St Joseph's college ,,,,,School,"Chandra layout ,good will appartment ",12.95733888,77.52964297,1,14,Home,10:55:00,Metro ,40,Walk ,10,0.5 to 1 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1,1,2,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,3,1,1,1,2,2,3,0,1,1,2,2,1
1487,,860,875,-5,rise,Attiguppe (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic ,,,,,Friend,Chandra layout near canara bank ,12.96077584,77.52723319,0.8,12,Home,18:25:00,Metro ,15,Walk ,10,0.5 to 1 km ,6,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,No ,20,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0,0,0,0,"No, I will not use a bicycle. .",5,4,7,1,1,1,2,1,4,1,1,1,2,1,0
1680,,885,890,-5,rise,Pantharapalya - Nayandahalli (purple line),Magadi Road (purple line),GT mall magadi road,,,,,Home,Channasanadra college pattanagre,12.98095863,77.76022818,1.3,18,School,12:00:00,Metro ,30,Walk ,15,0.5 to 1 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,"50,001 â€“ 1,00,000",1,0,0,0,"No, I will not use a bicycle. .",5,4,1,3,1,1,2,1,4,1,1,1,2,1,1
2090,,901,899,-2,flat,Chickpet (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic,,,,,Home,Chickpet market,12.96563039,77.5766735,0.3,4,Shopping,16:10:00,Metro ,20,Walk ,2,0.5 to 1 km ,7,Walk ,3,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,"25,001 â€“ 50,000",0,0,0,0,Not Applicable - because neither ends of my trip is home. .,15,3,1,4,1,1,2,2,4,1,1,1,2,2,0
1894,,901,899,-2,flat,Chickpet (green line),Thalaghattapura (green line),Nagegowdapalya,,,,,Home,Chickpete flower market ,12.96563039,77.5766735,0.3,4,Shopping,11:50:00,Metro ,30,Walk ,6,0.5 to 1 km ,8,Auto Rickshaw ,10,1.5 km to 2 km ,4,For neither access nor egress trips ,,,No ,138,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Daily,,0,1,0,0,"No, I will not use a bicycle. .",15,4,1,4,1,4,2,4,4,0,1,5,2,3,1
1882,,901,899,-2,flat,Chickpet (green line),Rajajinagar (green line),"Rajajinagar,tata showroom ",,,,,Home,Chickpete market,12.96563039,77.5766735,0.3,4,Shopping,11:10:00,Metro ,25,Walk ,15,0.5 to 1 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Unemployed,,1,1,0,0,"No, I will not use a bicycle. .",15,4,1,4,1,3,2,2,4,0,1,1,2,2,1
1897,,901,899,-2,flat,Chickpet (green line),Nagasandra (green line),Mariamma temple,,,,,Home,Chickpete market,12.96563039,77.5766735,0.3,4,Shopping,11:50:00,Metro ,40,Walk ,15,0.5 to 1 km ,8,Auto Rickshaw ,25,2.5 km to 3 km ,5,For neither access nor egress trips ,,,Metro card ,80,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Trade,Unemployed,,1,1,0,0,"No, I will not use a bicycle. .",15,4,1,4,1,4,2,6,4,0,1,5,2,4,1
1885,,901,899,-2,flat,Chickpet (green line),Rajajinagar (green line),Maramma temple ,,,,,Home,Chickpete market ,12.96563039,77.5766735,0.3,4,Shopping,11:25:00,Metro ,45,Walk ,5,0.5 to 1 km ,8,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0,1,1,0,"No, I will not use a bicycle. .",15,4,1,4,1,1,2,2,4,0,1,1,2,2,1
1901,,901,899,-2,flat,Chickpet (green line),Yelachenahalli (green line),Ganapathipura,,,,,Home,Chickpete market ,12.96563039,77.5766735,0.3,4,Shopping,12:00:00,Metro ,30,Walk ,7,0.5 to 1 km ,8,Drove and parked a two-Wheeler ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Unemployed,,0,1,0,0,"No, I will not use a bicycle. .",15,4,1,4,1,3,2,2,4,0,1,3,2,2,1
1098,,913,908,-5,flat,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",,"T.C palya, koshy's hospital ",,,,,Home,"Chickpete, kV temple",12.97026269,77.57385415,0.4,10,Work,15:30:00,Metro + Bus ,90,Walk ,15,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,5,30,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,1,1,0,0,0,10,-1,1,2,3,2,2,1,4,0,1,1,2,1,1
2412,,910,902,-8,fall,Chickpet (green line),Dasarahalli (green line),Chikkbanawar ,,,,,Home,"Chickpete, sudharshan silks ",12.96913758,77.57613311,0.4,5,Shopping,15:15:00,Metro + Bus ,45,Walk ,10,0.5 to 1 km ,7,Walk ,10,0.5 to 1 km ,,For egress trip only ,3,5,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0,1,0,0,"No, I will not use a bicycle. .",15,4,1,4,3,1,2,2,2,0,1,1,2,2,1
43,,902,902,0,flat,Chickpet (green line),Thalaghattapura (green line),Thalaghattapura near police station ,12.86917948,77.53624545,0.3,4,Home,"Chicpete, sunday bazar",12.96659533,77.57571965,0.25,4,Shopping,12:10:00,Metro ,25,Walk ,10,0.5 to 1 km ,0,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,1,2,0,0,0,10,-1,1,4,1,2,2,1,4,0,1,1,2,1,1
1880,,901,899,-2,flat,Chickpet (green line),Magadi Road (purple line),Andrahalli,,,,,Home,Chikpete,12.96659533,77.57571965,0.25,4,Shopping,11:10:00,Metro ,60,Walk ,5,0.5 to 1 km ,8,Auto Rickshaw ,15,> 5 km ,5,For neither access nor egress trips ,,,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,12th,Unemployed,,0,1,0,0,"No, I will not use a bicycle. .",15,4,1,4,1,3,2,11,4,0,1,5,2,5,1
1858,,901,899,-2,flat,Chickpet (green line),Nagasandra (green line),Nelamangla town police station ,,,,,Home,Chikpete flower market  ,12.96563039,77.5766735,0.3,4,Shopping,09:30:00,Metro ,60,Walk ,10,0.5 to 1 km ,5,Drove and parked a two-Wheeler ,30,> 5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Trade,Business,,0,2,0,0,"No, I will not use a bicycle. .",15,4,1,4,1,2,2,11,4,0,1,3,2,5,1
1872,,916,902,-14,fall,Chickpet (green line),Banashankari (green line),Near temple ,,,,,Other,Chikpete OTC road,12.96836489,77.5783773,0.55,7,Home,10:15:00,Metro ,30,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,24,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Graduate,Employed,,0,2,0,0,"No, I will not use a bicycle. .",15,4,8,1,1,2,2,2,4,0,1,1,2,2,1
1887,,909,902,-7,fall,Chickpet (green line),Nagasandra (green line),Manjunath nagar,,,,,Home,Chipete fruits market ,12.9666992,77.57812963,0.35,5,Shopping,11:20:00,Metro ,60,Walk ,7,0.5 to 1 km ,8,Walk ,20,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Daily,,0,0,0,0,"No, I will not use a bicycle. .",15,4,1,4,1,4,2,4,4,0,1,1,2,3,0
1524,,881,899,-18,rise,Nagasandra (green line),Lalbagh (green line),Lalbagh ,,,,,Social,Christ University ,13.03662702,77.50803926,2,29,School,14:30:00,Metro ,30,Auto Rickshaw ,10,0.5 to 1 km ,10,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,30,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,>2 Lakhs,1,1,1,0,"No, I will not use a bicycle. .",5,4,6,3,1,1,2,2,3,0,5,1,2,2,1
1857,,891,904,13,rise,Chickpet (green line),National College (green line),Sagarchandrama hospital ,,,,,School,Cotton pete,12.96721648,77.56462112,1.5,22,Home,09:00:00,Metro ,30,Walk ,15,0.5 to 1 km ,5,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Student,,0,1,0,0,"No, I will not use a bicycle. .",15,4,3,1,1,1,2,1,4,0,1,1,2,1,1
