,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B
10,10,Baiyappanahalli (purple line),Jayanagar (green line),"Jaynagar , 7th block",Work,Banagenahalli,Home,23:30:00,Metro ,60,Walk ,20,1.5 km to 2 km ,3,Walk ,10,1 km to 1.5 km ,,For neither access nor egress trips ,,,No ,42,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,"No, I will not use a bicycle. .",10,4,2,1,1,1,4,3,4,1,1,1,3,3
11,11,Baiyappanahalli (purple line),Cubbon Park (purple line),Mallige nursing home ,Friend,Channasansra Whitefield ,Home,10:30:00,Bus + Metro ,120,Two-Wheeler ,5,< 0.5 km ,5,Walk ,20,1.5 km to 2 km ,,For both access and egress trips ,5.0,10.0,No ,30,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,12th,Employed,"1,00,001 – 2,00,000",1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,7,1,2,3,1,4,3,1,3,1,1,3
12,12,Nagasandra (green line),Pantharapalya - Nayandahalli (purple line),Global mall nayanadahalli metro station ,Shopping,"Chikkabidirkal, near vishnuvibhav hotel",Home,11:30:00,Metro ,60,Walk ,15,1.5 km to 2 km ,4,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,No ,55,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,12th,Business,"25,001 – 50,000",0.0,1,0,0,"No, I will not use a bicycle. .",10,4,4,1,1,2,4,1,4,1,1,1,3,1
13,13,Mantri Square Sampige Road (green line),Dasarahalli (green line),Hesghatta main road dasarahalli ,Home,Mantri square mall,Friend,09:30:00,Metro + Bus ,60,Walk ,5,< 0.5 km ,2,Walk ,3,< 0.5 km ,,For egress trip only ,3.0,10.0,No ,50,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,>2 Lakhs,2.0,4,2,1,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,1,7,3,1,1,1,2,1,1,1,1,1
14,14,Yeshwanthpur (green line),Jayanagar (green line),Btm layout ,Other,Yeshwantpur railway station came from davangere ,Home,00:20:00,Metro ,40,Walk ,3,< 0.5 km ,5,Auto Rickshaw ,15,> 5 km ,4.0,For neither access nor egress trips ,,,Metro card ,100,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,10,3,8,1,1,1,1,11,4,0,1,5,1,5
15,15,Nagasandra (green line),Attiguppe (purple line),"chandra layout, goodwill apartment",Friend,"Tumkur, near tumkur university ",Home,10:00:00,Bus + Metro ,120,Dropped-off by friends/others ,3,0.5 to 1 km ,20,Walk ,13,1 km to 1.5 km ,,For both access and egress trips ,10.0,5.0,Metro card ,80,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,"1,00,001 – 2,00,000",1.0,2,0,0,"No, I will not use a bicycle. .",10,4,7,1,2,1,2,3,3,1,8,1,2,3
16,16,Baiyappanahalli (purple line),Krantivira Sangolli Rayanna Railway Station (purple line),RAJAJI NAGAR,Work,"Kr puram, ayappa nagR",Home,12:10:00,Metro ,20,Two-Wheeler ,20,> 5 km ,15,Walk ,10,1.5 km to 2 km ,,For neither access nor egress trips ,,,Metro card ,30,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",2.0,1,0,0,"No, I will not use a bicycle. .",10,4,2,1,1,2,11,4,4,1,3,1,5,3
17,17,South End Circle (green line),Kengeri Bus Terminal (purple line),"Mailasandra gate, near global BGS",Home,"South end circle,near Surana college",Work,12:10:00,Metro ,60,Walk ,5,< 0.5 km ,9,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,"10,001 – 25,000",0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,1,2,1,1,1,1,3,1,1,1,1,1
18,18,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Mysore Road (purple line),"Rangavendta Matta vittavidu, banashankari 3rd stage",Home,Central college ,Home,12:30:00,Metro ,60,Walk ,3,< 0.5 km ,2,Two-Wheeler ,10,2.5 km to 3 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Doctorate,Employed,>2 Lakhs,1.0,2,0,0,"No, I will not use a bicycle. .",10,4,1,1,1,3,1,6,4,0,1,3,1,4
19,19,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Kengeri Bus Terminal (purple line),"Parishrama punarvarsathi Kendra,kengri railway station ",Social,Majestic railway station (from raichur through train),Friend,12:01:00,Metro ,90,Walk ,10,0.5 to 1 km ,15,Walk ,5,< 0.5 km ,,For egress trip only ,,,No ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,10th,Business,"10,001 – 25,000",0.0,2,3,1,"No, I will not use a bicycle. .",10,4,6,7,1,2,2,1,2,1,1,1,2,1
20,20,Jayaprakash Nagar (green line),Attiguppe (purple line),Vijaynagar market ,Friend,"JP nagar, inchara hotel near",Home,11:40:00,Metro ,45,Auto Rickshaw ,15,4 km to 4.5 km ,20,Auto Rickshaw ,15,2.5 km to 3 km ,3.0,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",10,4,7,1,1,2,9,6,4,0,5,5,5,4
21,21,Baiyappanahalli (purple line),Kengeri (purple line),"Mailasandra, Global tech park back gate",Work,"Baiyapanahalli, cv Raman Nagar, kagadaspur",Friend,12:00:00,Metro ,60,Dropped-off by friends/others ,10,3.5 km to 4 km ,3,Walk ,15,1.5 km to 2 km ,,For access trip only ,,,No ,55,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,2,7,1,2,8,4,1,1,8,1,4,3
22,22,Vijayanagar (purple line),Rajarajeshwari Nagar (purple line),"RR nagar, Big barrel hotel",Other,"Basveshwar nagar, near monkey park ",Home,12:30:00,Metro ,45,Auto Rickshaw ,15,3.5 km to 4 km ,6,Dropped-off by friends/others ,15,4 km to 4.5 km ,0.0,For both access and egress trips ,,,No ,20,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Trade,Business,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,8,1,1,3,8,9,3,1,5,8,4,5
23,23,Rajajinagar (green line),Krantivira Sangolli Rayanna Railway Station (purple line),Lulu mall,Friend,Kamakashipalya police station ,Home,12:30:00,Metro ,30,Dropped-off by friends/others ,20,> 5 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Unemployed,,2.0,1,0,0,"No, I will not use a bicycle. .",10,4,7,1,1,3,11,1,4,0,8,1,5,1
24,24,Rajajinagar (green line),Baiyappanahalli (purple line)," byapanahalli,mallur",Home,"Rajajinagar,basveshwar nagar",Other,12:10:00,Bus1 + Metro + Bus2 ,90,Walk ,10,0.5 to 1 km ,3,Walk ,20,2 km to 2.5 km ,,For neither access nor egress trips ,3.0,9.0,No ,40,No crowding  - 50-75% of seats occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",10,4,1,8,4,2,2,5,4,0,1,1,2,4
25,25,Mahalakshmi (green line),Kengeri (purple line),Kengeri railway ,Other,"Mahalakshmi, ganesha block 8th cross",Home,12:00:00,Bus1 + Metro + Bus2 ,70,Walk ,5,< 0.5 km ,2,Walk ,2,< 0.5 km ,,For access trip only ,2.0,10.0,No ,55,No crowding - Less than 25% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,8,1,4,1,1,1,1,1,1,1,1,1
26,26,Banashankari (green line),Konanakunte Cross (green line),Forum mall,Shopping,Vijaya college ,School,12:00:00,Metro ,45,Walk ,15,2.5 km to 3 km ,1,Walk ,1,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,>2 Lakhs,2.0,3,1,0,Not Applicable - because neither ends of my trip is home. .,10,3,4,3,1,1,6,1,1,1,1,1,4,1
27,27,Lalbagh (green line),Thalaghattapura (green line),Holiday vilage near thalgattupura,Home,Christ college,School,12:30:00,Bus + Metro ,75,Walk ,1,< 0.5 km ,15,Two-Wheeler ,5,0.5 to 1 km ,,For egress trip only ,10.0,7.0,Metro card ,15,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Student,>2 Lakhs,2.0,1,2,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,1,3,2,1,1,2,2,1,1,3,1,2
28,28,Kengeri Bus Terminal (purple line),Krantivira Sangolli Rayanna Railway Station (purple line),Majestic ,Friend,RNSIT,School,13:45:00,Bus + Metro ,60,Walk ,8,< 0.5 km ,2,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,3.0,6.0,No ,50,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Student,,1.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,7,3,2,1,1,2,3,1,1,1,1,2
29,29,Kengeri Bus Terminal (purple line),Halasuru (purple line),Halsur market near ,Home,Kengeri bus terminal (coorg),Other,14:00:00,Metro ,40,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,47,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,0,0,0,"No, I will not use a bicycle. .",10,4,1,8,1,1,1,1,4,0,1,1,1,1
30,30,Kengeri Bus Terminal (purple line),Dasarahalli (green line),"Hesarghatta,tb cross",Home,Kengeri bus stop,Other,13:50:00,Metro + Bus ,150,Rapido/uber moto/Ola App two-wheeler ,5,1.5 km to 2 km ,4,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,5.0,5.0,Metro card ,45,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,1,8,3,2,4,2,3,1,7,1,3,2
31,31,Yelachenahalli (green line),Peenya Industry (green line),Ms palya near yelahanka,Home,J p nagar 7th cross,Work,14:00:00,Metro ,90,Walk ,10,1 km to 1.5 km ,5,Auto Rickshaw ,20,> 5 km ,3.0,For access trip only ,,,No ,90,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,"1,00,001 – 2,00,000",2.0,1,0,0,"No, I will not use a bicycle. .",10,4,1,2,1,2,3,11,1,1,1,5,3,5
32,32,Pattanagere (purple line),Chickpet (green line),Chikpett whole sale shop,Shopping,"Kengeri upanagara, bhethasta school ",Home,13:50:00,Metro ,45,Dropped-off by friends/others ,5,1.5 km to 2 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Business,,0.0,2,0,0,"No, I will not use a bicycle. .",10,4,4,1,1,3,4,1,4,0,8,1,3,1
33,33,Rajarajeshwari Nagar (purple line),Mahatma Gandhi Road (purple line),St Joseph college,Work,"Christ college, kengeri",School,13:04:00,Bus + Metro ,60,Walk ,2,< 0.5 km ,3,Walk ,2,< 0.5 km ,,For both access and egress trips ,5.0,2.0,Metro card ,20,No crowding - Less than 25% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0.0,2,1,0,"No, I will not use a bicycle. .",10,4,2,3,2,1,1,1,3,1,1,1,1,1
34,34,Rajarajeshwari Nagar (purple line),Mahatma Gandhi Road (purple line),Manipal centre ,Work,"RR nagar, near padhmavathi kalyana mantapa",Home,14:00:00,Metro ,50,Auto Rickshaw ,10,1.5 km to 2 km ,10,Auto Rickshaw ,10,1.5 km to 2 km ,5.0,For neither access nor egress trips ,,,No ,38,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",10,4,2,1,1,4,4,4,4,1,5,5,3,3
35,35,Rajarajeshwari Nagar (purple line),Indiranagar (purple line),"EGL TECH PARK, Near indra nagar",Work,"RR nagar, near JSS college ",Home,14:15:00,Metro ,90,Ola/Uber car ,15,3.5 km to 4 km ,8,Ola/Uber car ,20,4.5 km to 5 km ,5.0,For both access and egress trips ,,,Metro card ,150,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",10,2,2,1,1,2,8,10,3,0,6,6,4,5
36,36,Rajarajeshwari Nagar (purple line),Mahatma Gandhi Road (purple line),Church Street ,Shopping,"Gopalan mall , rajarajeshwari nagar ",Social,13:30:00,Metro ,40,Walk ,5,< 0.5 km ,9,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,38,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,>2 Lakhs,0.0,2,0,0,Not Applicable - because neither ends of my trip is home. .,10,3,4,6,1,1,1,2,4,1,1,1,1,2
37,37,Rajarajeshwari Nagar (purple line),Srirampura (green line),"Renukamba studio, Malleswaram ",Work,Pattanagere layout ,Home,14:10:00,Metro ,45,Auto Rickshaw ,10,2 km to 2.5 km ,8,Auto Rickshaw ,10,2 km to 2.5 km ,5.0,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Trade,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,2,1,1,3,5,5,3,1,5,5,4,4
38,38,Rajarajeshwari Nagar (purple line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Vidhana soudha,Other,"RR nagar, BDA appartment ",Home,14:35:00,Metro ,60,Two-Wheeler ,10,2.5 km to 3 km ,8,Walk ,10,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,"No, I will not use a bicycle. .",10,4,8,1,1,2,6,3,3,1,3,1,4,3
39,39,Rajarajeshwari Nagar (purple line),Vijayanagar (purple line),Vijaynagar near food Street ,Home,Rajarajeshwari bus stop (mandya),Other,14:35:00,Metro ,18,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,19,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Unemployed,,0.0,0,0,0,"No, I will not use a bicycle. .",10,4,1,8,1,1,1,1,4,0,1,1,1,1
40,40,Rajarajeshwari Nagar (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Attibele,family mart",Home,"Rajajeshwari nagar ,shankmukha swamy temple",Shopping,14:30:00,Metro + Bus ,120,Car ,15,3.5 km to 4 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5.0,5.0,No ,55,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Employed,"25,001 – 50,000",0.0,1,0,0,"No, I will not use a bicycle. .",10,4,1,4,3,1,8,1,4,1,4,1,4,1
41,41,Rajarajeshwari Nagar (purple line),Magadi Road (purple line),Magadi road 1st cross inside saree shop,Shopping,"Jouregowda nagara, 13th cross 1st main road",Home,14:30:00,Metro ,45,Walk ,25,1.5 km to 2 km ,8,Walk ,10,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,75,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,10th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",10,4,4,1,1,2,4,4,4,0,1,1,3,3
42,42,Rajarajeshwari Nagar (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Krs circle,Work,"RR nagar, gopalan arcade mall",Home,02:38:00,Metro ,35,Two-Wheeler ,10,1 km to 1.5 km ,7,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,No ,80,No crowding - Less than 25% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,"25,001 – 50,000",1.0,1,0,0,"No, I will not use a bicycle. .",10,4,2,1,1,3,3,1,4,1,3,1,3,1
43,43,Rajarajeshwari Nagar (purple line),Srirampura (green line),"Srirampura, near harishchandra ghat ",Home,Global academy of technology ,School,13:00:00,Metro ,40,Dropped-off by friends/others ,10,2.5 km to 3 km ,8,Walk ,5,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",10,1,1,3,1,1,6,2,1,1,8,1,4,2
44,44,Rajarajeshwari Nagar (purple line),Deepanjali Nagar (purple line),"Deepanjali nagar 4th cross, near metro station ",Friend,"RR Nagar , contriver company ",Work,14:50:00,Metro ,20,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",10,4,7,2,1,1,1,1,4,0,1,1,1,1
