,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
245,Mysore Road (purple line),Mantri Square Sampige Road (green line),"Malleshwaram, near mantri",Home,Mysore,Home,17:00:00,Metro ,18,Walk ,2,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,No ,30,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"<=10,000",0.0,1,0,0,0,10,-1,1,1,1,1,1,1,1,1,1,1
246,Nagasandra (green line),Mantri Square Sampige Road (green line),Malleswaram 18th cross,Shopping,"8th mile, baglugutte temple near",Home,17:30:00,Metro ,30,Car ,10,4.5 km to 5 km ,1,Walk ,8,1 km to 1.5 km ,,For neither access nor egress trips ,,,No ,35,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,4,1,1,2,6,4,1,1,4,1
247,Peenya (green line),South End Circle (green line),"Yediyur lake , near nagasandra circle ",Home,"Vidyaranpura, BEL road ",Home,17:30:00,Metro ,60,Dropped-off by friends/others ,10,2.5 km to 3 km ,3,Walk ,10,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,0,10,-1,1,1,1,1,7,4,3,1,8,1
248,Mahalakshmi (green line),Konanakunte Cross (green line),"Gottegere, Bannerghatta road ",Home,Iscon temple ,Social,17:52:00,Metro + Bus ,60,Walk ,10,0.5 to 1 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5,2,Metro card ,15,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Postgraduate,Student,,0.0,0,0,0,0,10,-1,1,6,3,1,3,1,1,1,1,1
249,Silk Institute (green line),Cubbon Park (purple line),"Adugodi main road, Koramangala ",Home,"Udipalya , kanakpura road ",Work,18:15:00,Bus1 + Metro + Bus2 ,120,Walk ,2,< 0.5 km ,8,Walk ,8,0.5 to 1 km ,,For both access and egress trips ,2,6,Metro card ,35,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,1,2,4,2,1,3,3,1,1,1
250,Silk Institute (green line),Dasarahalli (green line),"Bhuvaneshwari nagar, SVU appartment opposite ",Home,"Prestige primrosels, thalgatpura ",Work,18:30:00,Metro ,99,Walk ,15,1 km to 1.5 km ,6,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,1,0,0,10,-1,1,2,1,2,4,4,3,1,1,1
251,Doddakallasandra (green line),Peenya (green line),"Yelanka new town, new town Bus stand ",Home,"Doddagallasandra metro station near, mantri serinity",Work,18:55:00,Metro ,90,Walk ,5,0.5 to 1 km ,8,Car ,30,> 5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,> 60 yrs ,Postgraduate,Employed,,2.0,1,0,0,0,10,-1,1,2,1,5,3,8,1,1,1,4
252,Jayaprakash Nagar (green line),Rajajinagar (green line),Near ESI hospital ,Home,"Saraki signal, outer ring road ",Work,18:30:00,Metro ,60,Walk ,20,1.5 km to 2 km ,4,Walk ,20,1.5 km to 2 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,0,10,-1,1,2,1,2,2,2,3,1,1,1
253,Mahatma Gandhi Road (purple line),Nagasandra (green line),Nagasandra metro station near,Home,Mg road metro station near ,Work,19:00:00,Metro ,45,Walk ,8,0.5 to 1 km ,3,Walk ,20,1.5 km to 2 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,,1.0,3,1,0,0,10,-1,1,2,1,3,3,2,1,1,1,1
254,Sandal Soap Factory (green line),Baiyappanahalli (purple line),Mahadevpura,Work,Mathikere,Home,07:45:00,Bus + Metro ,105,Walk ,10,< 0.5 km ,10,Metro feeder,20,2.5 km to 3 km ,5,For neither access nor egress trips ,5,5,Metro card ,38,Very high crowding - All seats AND most standing space occupied ,Male,,,Metro ,36-45 yrs ,Postgraduate,Employed,,1.0,1,2,0,0,10,-1,2,1,2,3,1,7,1,1,1,9
255,Baiyappanahalli (purple line),Nagasandra (green line),"Nelamangala,abp india ltd ",Work,"Whitefield, kadugodi, kadugodi railway ",Home,06:45:00,Local train+metro ,105,Walk ,10,0.5 to 1 km ,5,Auto Rickshaw ,30,> 5 km ,4,For neither access nor egress trips ,5,5,Metro card ,200,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,26-35 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,2,1,0,2,3,8,1,1,1,5
256,Dasarahalli (green line),Sandal Soap Factory (green line),"Vivekananda college,Orion mall",School,"Dasarahalli,Kalasthi government school ",Home,08:30:00,Metro ,15,Walk ,5,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,20,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus ,18-25 yrs ,10th,Student,"<=10,000",0.0,0,1,0,0,10,-1,3,1,1,1,1,1,1,1,1,1
257,Jalahalli (green line),Konanakunte Cross (green line),"Jigani, APC circle ",Work,"Yelahanka old town, blue bell school near",Home,19:50:00,Bus1+metro+Bus2+Bus3+Bus4,210,Walk ,5,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,5,15,Metro card ,0,No crowding  - Most ,Female,Yes ,Metro ,Metro ,36-45yrs ,Postgraduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,0,10,-1,2,1,0,3,1,1,1,0,1,1
258,Mysore Road (purple line),Rashtreeya Vidyalaya Road (green line),Jaynagar 9th block,Work,Banshankari 3rd stage,Home,08:10:00,Bus + Metro ,60,Walk ,10,< 0.5 km ,2,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,5,5,Metro card ,20,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,1,2,1,1,3,3,1,1,1
259,Dasarahalli (green line),Baiyappanahalli (purple line),"Yamalur,77 town centre ",Work,"HMT layout,Gaga international school ",Home,08:30:00,Metro ,90,Two-Wheeler ,15,2.5 km to 3 km ,3,Shuttle bus,30,> 5 km ,5,For neither access nor egress trips ,,,Metro card ,52,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,0,10,-1,2,1,1,3,7,8,1,1,3,9
260,Nagasandra (green line),Lalbagh (green line),"Kidwi hospital,  hosur road",Other,"Nagasandra, Avanur extension ",Home,08:30:00,Metro ,60,Walk ,10,< 0.5 km ,6,Auto Rickshaw ,25,3.5 km to 4 km ,5,For neither access nor egress trips ,,,Mobility card ,80,No crowding  - Most ,Male,,,Metro ,> 60 yrs ,Graduate,Unemployed,,1.0,1,0,0,0,10,-1,8,1,1,5,1,9,1,1,1,5
261,Nagasandra (green line),Jayanagar (green line),"City college, jayanagar ",School,"Nagasandra,bagalagunte hesarghatta ",Home,08:00:00,Metro ,50,Walk ,15,1.5 km to 2 km ,5,Walk ,2,< 0.5 km ,,For access trip only ,,,No ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0.0,2,0,0,0,10,-1,3,1,1,1,2,1,2,1,1,1
262,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Jayaprakash Nagar (green line),Bannerghatta road jp nagar,Work,Mysoore,Home,05:15:00,Train + metro,210,Two-Wheeler ,10,2.5 km to 3 km ,5,Walk ,4,0.5 to 1 km ,,For neither access nor egress trips ,5,5,Metro card ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,>2 Lakhs,0.0,1,0,0,0,10,-1,2,1,0,2,7,3,1,1,3,1
263,Yeshwanthpur (green line),Jayanagar (green line),4th block jayanagar ,Work,"Yeshwanthapura, LN colony ",Home,08:30:00,Metro ,60,Walk ,10,< 0.5 km ,2,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,0,10,-1,2,1,1,2,1,3,1,1,1,1
264,National College (green line),Thalaghattapura (green line),E city,Other,Basavannagudi,Home,08:45:00,Metro ,120,Walk ,5,< 0.5 km ,4,Two-Wheeler ,60,> 5 km ,,For neither access nor egress trips ,,,Metro card ,100,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Business,>2 Lakhs,1.0,2,0,0,0,10,-1,8,1,1,2,1,8,1,1,1,3
265,Mantri Square Sampige Road (green line),Banashankari (green line),BTM layout ,Other,"Sheshadripuram, nehru nagar",Home,09:00:00,Metro + Bus ,45,Two-Wheeler ,5,1.5 km to 2 km ,4,Walk ,5,< 0.5 km ,,For both access and egress trips ,3,10,Metro card ,0,No crowding  - Most ,Female,Yes ,Metro ,Metro ,18-25yrs ,Postgraduate,Employed,,1.0,3,0,0,0,10,-1,8,1,3,1,2,1,3,0,3,1
266,Mahakavi Kuvempu Road (green line),Konanakunte Cross (green line),R V institute of technology ,School,"Basaveshwara nagar,Near Kamala nagar water tank ",Home,08:30:00,Bus1 + Metro + Bus2 ,75,Walk ,5,< 0.5 km ,20,Walk ,7,0.5 to 1 km ,,For access trip only ,10,5,Student pass ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",1.0,0,0,0,0,10,-1,3,1,4,1,1,3,2,1,1,1
267,Lalbagh (green line),Konanakunte Cross (green line),Forum mall,Work,Lalbagh ksrtc quarters ,Home,09:12:00,Metro ,30,Auto Rickshaw ,5,0.5 to 1 km ,3,Auto Rickshaw ,5,1.5 km to 2 km ,3,For both access and egress trips ,,,Metro card ,100,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,12th,Employed,"50,001 – 1,00,000",0.0,0,0,0,0,10,-1,2,1,1,1,3,2,3,1,5,5
268,Vijayanagar (purple line),Vajarahalli (green line),Vajarahalli ,Work,Vijaynagar ,Home,08:45:00,Metro ,60,Walk ,8,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,2,1,1,2,1,1,1,1,1,1
269,Banashankari (green line),Vajarahalli (green line),"BCMC layout, vajrahalli",Home,Banashankari temple ,Social,09:15:00,Metro ,30,Walk ,5,< 0.5 km ,2,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,No ,20,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,36-45 yrs ,10th,Unemployed,,0.0,0,1,0,0,10,-1,1,6,1,3,1,1,1,0,1,1
270,Lalbagh (green line),Silk Institute (green line),Kaglipura,School,Wilson garden,Home,09:15:00,Metro + Bus ,30,Two-Wheeler ,5,1 km to 1.5 km ,6,Walk ,2,< 0.5 km ,,For access trip only ,1,7,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Unemployed,"<=10,000",0.0,1,0,0,0,10,-1,3,1,3,2,4,1,2,1,3,1
271,Banashankari (green line),Silk Institute (green line),Banashankari bus stop back side,Home,"agara, SJS pvt company ",Work,09:10:00,Metro ,50,Walk ,10,< 0.5 km ,2,Auto Rickshaw ,15,1.5 km to 2 km ,5,For neither access nor egress trips ,,,Metro card ,55,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,1,2,1,1,1,2,1,0,1,5
272,Silk Institute (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Sathnur,Work,"Brigade meadows,",Home,09:00:00,Bus1 + Metro + Bus2 ,150,Walk ,10,< 0.5 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,7,6,Vajra Gold Monthly Pass ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,,1.0,0,0,0,0,10,-1,2,1,4,3,1,1,1,1,1,1
273,Silk Institute (green line),Rashtreeya Vidyalaya Road (green line),St Joseph's university ,School,"Kaglipura, kankpura road",Home,08:50:00,Bus1 + Metro + Bus2 ,105,Walk ,5,< 0.5 km ,15,Walk ,7,< 0.5 km ,,For both access and egress trips ,5,7,Mobility card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,,0.0,2,0,0,0,10,-1,3,1,4,1,1,1,3,0,1,1
274,Silk Institute (green line),Krishna Rajendra Market (green line),"Victoria hospital,kr market ",Work,"Silk farm,Silk institute ",Home,21:00:00,Bus + Metro ,60,Two-Wheeler ,20,1.5 km to 2 km ,15,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,6,5,Metro card ,20,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,46-60 yrs ,Trade,Employed,"25,001 – 50,000",0.0,2,0,0,0,10,-1,2,1,2,4,2,3,3,1,3,1
275,Silk Institute (green line),Kengeri (purple line),Kengeri kumbalagodu,School,Kanakpura dayananda sagar college,Home,08:00:00,Bus1 + Metro + Bus2 ,150,Walk ,10,1 km to 1.5 km ,10,Walk ,5,< 0.5 km ,,For both access and egress trips ,5,7,No ,130,No crowding  - 50-75% of seats occupied ,Male,,,Bus ,26-35 yrs ,Postgraduate,Student,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,3,1,4,2,4,1,3,1,1,1
276,Silk Institute (green line),Mantri Square Sampige Road (green line),"Malleshwaram,17th cross",Work,"Silk institute,mantri courtyard",Home,09:35:00,Metro + Bus ,90,Two-Wheeler ,2,1.5 km to 2 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,10,Metro card ,10,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,46-60 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,1,1,0,0,10,-1,2,1,3,4,2,1,1,1,3,1
277,Thalaghattapura (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Prison head quarters,Work,Thalgattupura opposite sadhana public scholl,Home,09:30:00,Metro ,45,Walk ,7,0.5 to 1 km ,5,Walk ,10,1 km to 1.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,36-45 yrs ,Postgraduate,Employed,>2 Lakhs,0.0,2,1,0,0,10,-1,2,1,1,3,3,4,1,1,1,1
278,Silk Institute (green line),Jayanagar (green line),"Diagonally opposite to Banglore diary circle,  near by kidwi",Work,"SV luxuria, near silk institute metro station ",Home,09:40:00,Metro ,40,Walk ,10,< 0.5 km ,2,Auto Rickshaw ,25,3.5 km to 4 km ,0,For neither access nor egress trips ,,,Metro card ,80,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,1,1,4,1,9,1,0,1,5
279,Yelachenahalli (green line),Trinity (purple line),Trinity,Work,Yelachenahalli,Home,09:40:00,Metro ,40,Walk ,10,0.5 to 1 km ,2,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,2,1,1,3,3,1,1,1,1,1
280,Konanakunte Cross (green line),Mantri Square Sampige Road (green line),"Malleshwaram 18th cross, PU board",Work,"Sarathi nagara, near Nandini milk booth, ",Home,09:20:00,Bus1 + Metro + Bus2 ,90,Walk ,5,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5,9,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Metro ,Metro ,46-60yrs ,12th,Employed,,1.0,1,0,0,0,10,-1,2,1,4,4,1,1,1,0,1,1
281,Doddakallasandra (green line),Sandal Soap Factory (green line),World Trade centre ,Work,"Mantri serenity, doddakalasandra ",Home,09:40:00,Metro ,60,Walk ,10,< 0.5 km ,5,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,,,No ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,1,1,0,0,10,-1,2,1,1,2,1,1,1,1,1,1
282,Thalaghattapura (green line),Sandal Soap Factory (green line),Yeshwanthpur 1st stop near,Work,"Judicial layout, thalagattapura",Home,09:30:00,Metro ,60,Walk ,10,0.5 to 1 km ,3,Auto Rickshaw ,5,1.5 km to 2 km ,0,For neither access nor egress trips ,,,Metro card ,40,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,2.0,1,0,0,0,10,-1,2,1,1,2,3,2,1,0,1,5
283,National College (green line),Jayaprakash Nagar (green line),Jpnagar 7th phase,Work,NR colony,Home,10:00:00,Bus + Metro ,40,Walk ,5,0.5 to 1 km ,7,Two-Wheeler ,15,> 5 km ,,For neither access nor egress trips ,10,8,No ,50,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,2,1,2,2,3,8,1,1,1,3
284,Banashankari (green line),Dasarahalli (green line),Dasarahalli bus stop (going out of Bangalore),Other,Bommanahalli,Home,09:00:00,Metro ,90,Auto Rickshaw ,25,> 5 km ,1,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,180,No crowding  - Most ,Female,,,Metro ,36-45 yrs ,12th,Unemployed,,0.0,1,0,0,0,10,-1,8,1,1,3,8,1,1,0,5,1
285,Mantri Square Sampige Road (green line),Yeshwanthpur (green line),Yeshwantpur metro station ,Work,Mantri mall,Work,10:15:00,Metro ,15,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,36-45 yrs ,10th,Employed,"<=10,000",0.0,0,0,0,0,10,-1,2,2,1,3,1,1,1,1,1,1
286,Banashankari (green line),Swami Vivekananda Road (purple line),Bagmane tech park,Work,Banashankari temple,Home,10:20:00,Metro ,60,Two-Wheeler ,15,1.5 km to 2 km ,5,Auto Rickshaw ,13,1.5 km to 2 km ,3,For neither access nor egress trips ,,,Metro card ,200,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,2,1,1,2,2,2,1,0,3,5
287,Mantri Square Sampige Road (green line),Baiyappanahalli (purple line),Bagmane- tech park ,Work,"Malleshwaram,bjp office",Home,10:00:00,Bus+metro+bus+bus,150,Walk ,15,0.5 to 1 km ,4,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,3,4,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,,0.0,0,0,0,0,10,-1,2,1,0,1,3,1,1,0,1,1
288,Jalahalli (green line),Mahatma Gandhi Road (purple line),Emertxe ,Other,Ayappa temple jalahalli ,Home,10:00:00,Bus + Metro ,45,Auto Rickshaw ,5,1.5 km to 2 km ,5,Walk ,2,< 0.5 km ,,For both access and egress trips ,3,4,Metro card ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,0,0,0,0,10,-1,8,1,2,1,2,1,3,0,5,1
289,Jalahalli (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",St Joseph's ,School,Yelahanka 5th phase,Home,08:50:00,Bus1 + Metro + Bus2 ,120,Walk ,3,< 0.5 km ,3,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5,3,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,"1,00,001 – 2,00,000",2.0,0,2,0,0,10,-1,3,1,4,1,1,3,1,0,1,1
290,Jalahalli (green line),Baiyappanahalli (purple line),"Banaswadi,cmr law college ",School,"Jalahalli ,pg near metro station ",Other,08:30:00,Bus1 + Metro + Bus2 ,90,Walk ,5,< 0.5 km ,2,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,2,6,No ,60,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,3,8,4,1,1,3,1,0,1,1
291,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),"Kasturi nagar,Sri Durga bakery",Home,"Gandhi nagar,Desi masala ",Work,11:00:00,Metro ,60,Walk ,20,1 km to 1.5 km ,7,Dropped-off by friends/others ,10,2.5 km to 3 km ,0,For egress trip only ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,2,1,2,4,7,4,0,1,8
292,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Cubbon Park (purple line),Mount Carmel College ,School,Akkipet main road,Home,11:00:00,Metro + Bus ,45,Walk ,5,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For both access and egress trips ,2,15,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,2,0,0,0,10,-1,3,1,3,1,1,1,3,0,1,1
293,Dasarahalli (green line),Indiranagar (purple line),"Indiranagar,sesna lifeline ",Work,"Shetty halli,, kruthika apartment ",Home,11:00:00,Metro ,60,Two-Wheeler ,10,4.5 km to 5 km ,5,Two-Wheeler ,10,1.5 km to 2 km ,,For both access and egress trips ,,,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,>2 Lakhs,0.0,1,0,0,0,10,-1,2,1,1,3,6,2,3,1,3,3
294,Jayaprakash Nagar (green line),Indiranagar (purple line),Indiranagar ,Work,Jpnagar ,Home,10:45:00,Metro ,60,Walk ,5,1.5 km to 2 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,0,0,0,0,10,-1,2,1,1,2,2,1,1,1,1,1
295,Nagasandra (green line),Indiranagar (purple line),Domlur egl ,Work,"Nagasandra metro station,near ikea",Home,10:30:00,Metro + Bus ,90,Walk ,10,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For both access and egress trips ,5,3,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"25,001 – 50,000",1.0,1,0,0,0,10,-1,2,1,3,2,3,1,3,0,1,1
296,Sandal Soap Factory (green line),Mahatma Gandhi Road (purple line),St Joseph's college,School,Yeshwantpur triveni road,Home,10:45:00,Bus + Metro ,50,Walk ,7,0.5 to 1 km ,5,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,6,4,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,2,0,0,0,10,-1,3,1,2,1,3,3,1,0,1,1
297,Jalahalli (green line),Mantri Square Sampige Road (green line),Mantri square ,Work,"Jalahalli cross,near Bangalore one",Home,11:00:00,Metro ,30,Walk ,6,0.5 to 1 km ,4,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0.0,0,0,0,0,10,-1,2,1,1,1,3,1,1,1,1,1
298,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Government Science college nrupathunga university ,School,"Peenya , BSR fashion near",Home,10:45:00,Bus + Metro ,90,Two-Wheeler ,10,1 km to 1.5 km ,5,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,5,0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,,0.0,2,0,0,0,10,-1,3,1,2,1,4,1,1,0,3,1
299,Goraguntepalya (green line),Mantri Square Sampige Road (green line),"Seshadharipuram,mantri mall",Work,"Gorguntepalaya,akshara motors",Work,11:20:00,Metro ,15,Walk ,2,< 0.5 km ,1,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,1,0,0,0,10,-1,2,2,1,3,1,1,1,1,1,1
300,Peenya Industry (green line),National College (green line),"Basavagudi, National college ",Other,"Brundavana bus stand, Peenya ",Work,11:15:00,Metro ,40,Two-Wheeler ,15,1 km to 1.5 km ,10,Walk ,1,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,36-45 yrs ,10th,Employed,,0.0,1,0,0,0,10,-1,8,2,1,3,4,1,1,1,3,1
301,Nagasandra (green line),Jayanagar (green line),Jayanagar 4th block ,Social,Nagasandra (Chitradurga kstrc),Home,11:15:00,Metro ,55,Walk ,5,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,46-60 yrs ,Graduate,Unemployed,,0.0,1,1,0,0,10,-1,6,1,1,4,1,1,1,1,1,1
302,Nagasandra (green line),Goraguntepalya (green line),St claret pu college,School,Rupini nagar,Home,11:25:00,Metro + Bus ,45,Walk ,10,1 km to 1.5 km ,7,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,2,5,Metro card ,15,No crowding  - 25-50% of seats occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Student,"25,001 – 50,000",1.0,2,1,0,0,10,-1,3,1,3,1,4,3,1,1,1,1
