,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
10,Kengeri Bus Terminal (purple line),Pattanagere (purple line),Rv college ,School,Kengeri police station ,Home,09:30:00,Metro ,25,Walk ,10,0.5 to 1 km ,6,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,10,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,"1,00,001 – 2,00,000",2.0,0,1,0,"No, I will not use a bicycle. .",15,3,3,1,1,1,3,1,2,1,1,1
11,Kengeri (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic bus station ,Shopping,"Kumblugudu, Rajarajashweri engineering college ",School,09:30:00,Bus + Metro ,60,Walk ,3,< 0.5 km ,5,Walk ,15,1.5 km to 2 km ,,For egress trip only ,5,4,No ,51,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,>2 Lakhs,2.0,3,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,4,3,2,1,1,2,4,1,1,1
12,Chickpet (green line),Cubbon Park (purple line),MG road side,Shopping,Near metro,Home,09:45:00,Metro ,15,Walk ,7,< 0.5 km ,5,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,1,1,3,1,0,1,1
13,Chickpet (green line),South End Circle (green line),Opposite to metro station ,Work,Sumthinath apartments ,Home,09:50:00,Metro ,20,Walk ,5,< 0.5 km ,6,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,1,1,1,1,0,1,1
14,Kengeri Bus Terminal (purple line),Swami Vivekananda Road (purple line),Itpl,Work,"Kengeri,Srinivasapura ,Aditya bakery ",Home,09:30:00,Bus1 + Metro + Bus2 ,120,Walk ,5,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,10,Metro card ,10,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,4,3,1,1,1,1,1,1
15,Kengeri Bus Terminal (purple line),Baiyappanahalli (purple line),"Mahadevapura, bagmane tech park ",Work,"Kengeri,bgs hospital ",Home,09:30:00,Bus + Metro ,105,Walk ,5,< 0.5 km ,5,Office shuttle bus,30,> 5 km ,5,For neither access nor egress trips ,4,3,Metro card ,5,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,"25,001 – 50,000",1.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,2,3,1,8,1,1,1,9
16,Rajarajeshwari Nagar (purple line),Baiyappanahalli (purple line),"Ramamurthi nagar, Royal concord",School,"Nagarabhavi, panacea hospital ",Home,09:20:00,Metro ,110,Drove and parked a two-Wheeler ,23,3 km to 3.5 km ,9,Ola/Uber car ,30,> 5 km ,10,For both access and egress trips ,,,Metro card ,40,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,>2 Lakhs,2.0,3,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,3,1,1,2,5,8,3,1,3,6
17,Rajarajeshwari Nagar (purple line),Swami Vivekananda Road (purple line),"Yamlur, near landmark building, division techno police yamlur",Work,Krishna garden RR nagar,Home,09:45:00,Bus + Metro ,135,Walk ,8,1 km to 1.5 km ,7,Office bus,20,> 5 km ,10,For access trip only ,4,6,Metro card ,15,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,2,1,2,3,4,8,2,1,1,9
18,Kengeri (purple line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)","Infantry road, opp coffee board",Work,Kengeri upa nagar ,Home,09:15:00,Metro ,60,Drove and parked a two-Wheeler ,10,4.5 km to 5 km ,6,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,30,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,2,1,1,2,6,3,3,1,3,1
19,Chickpet (green line),Halasuru (purple line),"Halasuru ,near arc",Work,Chickpete flower market ,Shopping,10:10:00,Metro ,30,Walk ,10,< 0.5 km ,6,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Daily,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,4,1,4,1,3,1,0,1,1
20,Chickpet (green line),Banashankari (green line),Near temple ,Other,Chikpete OTC road,Home,10:15:00,Metro ,30,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,24,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,"No, I will not use a bicycle. .",15,3,8,1,1,2,3,3,1,0,1,1
21,Jayaprakash Nagar (green line),Trinity (purple line),"Trinity, near axis bank",Work,JP nagar 1st phase,Home,09:45:00,Metro ,45,Walk ,10,< 0.5 km ,5,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,2,1,1,2,1,1,1,0,1,1
22,Rajarajeshwari Nagar (purple line),Baiyappanahalli (purple line),"Mahadevpura, Samsung building",Work,"RR nagar, Cafe down valley",Home,10:16:00,Metro ,90,Walk ,10,1.5 km to 2 km ,7,Dropped-off by friends/family members/others ,30,> 5 km ,0,For access trip only ,,,No ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,2,1,1,2,2,8,2,1,1,8
23,Chickpet (green line),Swami Vivekananda Road (purple line),HAL road,Work,Chikpete near metro,Other,10:30:00,Metro ,25,Walk ,5,< 0.5 km ,5,Dropped-off by friends/family members/others ,10,3.5 km to 4 km ,5,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,8,1,1,1,9,1,0,1,8
24,Chickpet (green line),Nagasandra (green line),Nelmangala ,Home,Chickpete market,Shopping,10:30:00,Metro + Bus ,60,Walk ,10,0.5 to 1 km ,6,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,6,3,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,10th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,4,3,2,3,1,1,0,1,1
25,Deepanjali Nagar (purple line),Mahatma Gandhi Road (purple line),"MG road, UFC bank",Other,"Nagarbhavi, Aryan presidency school",Home,10:30:00,Metro ,40,Dropped-off by friends/family members/others ,6,2.5 km to 3 km ,2,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Postgraduate,Student,"1,00,001 – 2,00,000",1.0,3,0,0,"No, I will not use a bicycle. .",15,3,8,1,1,1,7,1,1,1,8,1
26,Swami Vivekananda Road (purple line),Nagasandra (green line),"Kunigal,race course road through ksrtc ",Social,HAL,Work,10:30:00,Metro ,105,Dropped-off by friends/family members/others ,20,2.5 km to 3 km ,1,Ksrtc bus,60,> 5 km ,15,For access trip only ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,46-60 yrs ,Trade,Employed,"50,001 – 1,00,000",0.0,1,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,6,2,1,4,7,8,2,1,8,12
27,Chickpet (green line),Sandal Soap Factory (green line),Varthur,Home,Orion mall,Shopping,09:00:00,Bus + Metro ,210,Walk ,5,< 0.5 km ,15,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,10,8,Ordinary Day Pass ,25,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Student,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,4,2,2,1,1,1,0,1,1
28,Chickpet (green line),Magadi Road (purple line),Andrahalli,Home,Chikpete,Shopping,11:10:00,Metro ,60,Walk ,5,0.5 to 1 km ,8,Auto Rickshaw ,15,> 5 km ,5,For neither access nor egress trips ,,,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,12th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,3,3,8,1,0,1,5
29,Chickpet (green line),Srirampura (green line),Near chowdeshwari temple ,Home,Chikpete market ,Shopping,11:15:00,Metro ,15,Walk ,7,< 0.5 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,15,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,> 60 yrs ,12th,Unemployed,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,5,1,3,1,1,1,1
30,Chickpet (green line),Rajajinagar (green line),"Rajajinagar,tata showroom ",Home,Chickpete market,Shopping,11:10:00,Metro ,25,Walk ,15,0.5 to 1 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,3,3,3,1,0,1,1
31,Baiyappanahalli (purple line),Pattanagere (purple line),Global village ,Work,"Thanisandhra, venkateshpura",Home,10:00:00,Metro ,120,Dropped-off by friends/family members/others ,35,> 5 km ,1,Auto Rickshaw ,15,2.5 km to 3 km ,0,For neither access nor egress trips ,,,Metro card ,60,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,2,8,7,1,0,8,5
32,Jnanabharathi (purple line),National College (green line),"Jayanagar,4th block,Oraiyan group properties and construction ",Work,"Shivu layout,marriappana palya",Home,11:25:00,Bus1 + Metro + Bus2 ,60,Walk ,2,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For both access and egress trips ,5,7,Metro card ,20,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,"25,001 – 50,000",0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,2,1,4,1,1,1,3,1,1,1
33,Chickpet (green line),Rajajinagar (green line),Maramma temple ,Home,Chickpete market ,Shopping,11:25:00,Metro ,45,Walk ,5,0.5 to 1 km ,8,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,1,0,"No, I will not use a bicycle. .",15,3,1,4,1,1,3,3,1,0,1,1
34,Jnanabharathi (purple line),Krishna Rajendra Market (green line),"KR Market, flower market ",Shopping,"Kengunte, malathahalli, ",Home,11:15:00,Metro ,45,Drove and parked a two-Wheeler ,10,1.5 km to 2 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,35,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,12th,Unemployed,,0.0,2,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,3,2,1,1,0,3,1
35,Chickpet (green line),Nagasandra (green line),Manjunath nagar,Home,Chipete fruits market ,Shopping,11:20:00,Metro ,60,Walk ,7,0.5 to 1 km ,8,Walk ,20,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Daily,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,4,3,2,1,0,1,1
36,Jnanabharathi (purple line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Shantinagar bus stop ,Work,Jnanbharthi college ,Other,11:30:00,Metro ,45,Auto Rickshaw ,10,3 km to 3.5 km ,7,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Postgraduate,Employed,,0.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,2,8,1,2,5,4,3,1,5,1
37,Jnanabharathi (purple line),Chickpet (green line),Chikpett ,Shopping,"Mariyappanapalya, amma ashrama",Home,11:35:00,Metro ,40,Drove and parked a two-Wheeler ,5,1.5 km to 2 km ,7,Walk ,6,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,30,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,3,2,1,1,0,3,1
38,Chickpet (green line),Halasuru (purple line),"15g street, jogupalya ",Home,Chickpete flower market ,Shopping,11:40:00,Metro ,25,Walk ,5,< 0.5 km ,8,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,No ,25,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Daily,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,3,1,1,1,0,1,1
39,Chickpet (green line),Rajajinagar (green line),Basaveshwara ,Work,Chikpete market ,Shopping,11:37:00,Metro ,20,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,Postgraduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,4,1,3,1,1,1,0,1,1
40,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Banashankari (green line),"Kumaraswamy layout, near police station ",Home,Majestic bus stop ,Shopping,11:46:00,Metro + Bus ,30,Walk ,5,< 0.5 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2,2,No ,40,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Business,"10,001 – 25,000",0.0,0,0,0,"No, I will not use a bicycle. .",15,3,1,4,3,1,1,1,1,1,1,1
41,Jayaprakash Nagar (green line),Chickpet (green line),Chikpete,Shopping,BTM layout near Jaydeva hospital ,Home,11:20:00,Metro ,30,Dropped-off by friends/family members/others ,10,3.5 km to 4 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,46-60 yrs ,10th,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,4,9,3,1,0,8,1
42,Chickpet (green line),Thalaghattapura (green line),Nagegowdapalya,Home,Chickpete flower market ,Shopping,11:50:00,Metro ,30,Walk ,6,0.5 to 1 km ,8,Auto Rickshaw ,10,1.5 km to 2 km ,4,For neither access nor egress trips ,,,No ,138,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Daily,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,4,3,2,1,0,1,5
43,Jnanabharathi (purple line),Hopefarm Channasandra (purple line),"Channasandra,mvj college ",School,"Kodipalya,gutte anjaneya temple ",Home,11:45:00,Metro1+bus1+metro2+bus2,180,Drove and parked a car ,10,> 5 km ,9,Walk ,2,< 0.5 km ,,For access trip only ,5,2,Metro card ,15,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,12th,Student,>2 Lakhs,2.0,2,3,0,"No, I will not use a bicycle. .",15,3,3,1,0,1,8,1,2,1,4,1
44,Chickpet (green line),Swami Vivekananda Road (purple line),Near byp railway station ,Home,Chikpete,Shopping,11:55:00,Metro ,45,Walk ,7,0.5 to 1 km ,8,Drove and parked a two-Wheeler ,2,< 0.5 km ,,For egress trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,2.0,3,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,1,4,1,1,3,1,4,0,1,3
45,Chickpet (green line),Nagasandra (green line),Mariamma temple,Home,Chickpete market,Shopping,11:50:00,Metro ,40,Walk ,15,0.5 to 1 km ,8,Auto Rickshaw ,25,2.5 km to 3 km ,5,For neither access nor egress trips ,,,Metro card ,80,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Trade,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,4,3,7,1,0,1,5
46,Jnanabharathi (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Malleshwaram 9th cross,Shopping,"Mariyappanapalya, st filaminous school near",Home,11:50:00,Bus1 + Metro + Bus2 ,35,Walk ,2,< 0.5 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,4,7,No ,30,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,4,2,1,1,1,0,1,1
47,Chickpet (green line),Vijayanagar (purple line),Vijaynagar police station ,Home,Chikpete flower market ,Shopping,11:45:00,Metro ,30,Walk ,12,1 km to 1.5 km ,7,Drove and parked a two-Wheeler ,5,1 km to 1.5 km ,,For neither access nor egress trips ,,,No ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was not making this trip earlier ,> 60 yrs ,10th,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,1,4,1,5,4,4,1,1,1,3
48,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Chickpet (green line),"Chickpet market, 700m from chickpet metro",Work,Majestic bus stop ,Work,12:06:00,Metro ,20,Walk ,2,< 0.5 km ,7,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,10,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,10th,Business,"10,001 – 25,000",0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,2,2,1,2,1,3,1,1,1,1
