,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
19,19,Rajajinagar (green line),Rajarajeshwari Nagar (purple line),"Hemmigepura, RR nagar",Home,"Rajajinagar, akash tuition ",Friend,11:20:00,Metro ,50,Walk ,5,< 0.5 km ,5,Two-Wheeler ,15,4.5 km to 5 km ,,For both access and egress trips ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,"25,001 – 50,000",1.0,3,0,0,0,10,-1,1,7,1,1,1,6,3,0,1,3
20,20,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),Bayappanahalli gunjur ,Friend,Yeshwantpur railway station ,Other,10:00:00,Bus1 + Metro + Bus2 ,120,Walk ,5,< 0.5 km ,5,Walk ,5,1 km to 1.5 km ,,For neither access nor egress trips ,10.0,5.0,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,7,8,4,1,1,4,1,0,1,1
21,21,Kengeri (purple line),Lalbagh (green line),Lalbagh park,Social,"Kumbalgodu,Don Bosco college ",Home,10:00:00,Bus + Metro ,120,Walk ,15,0.5 to 1 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5.0,10.0,No ,35,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"10,001 – 25,000",0.0,3,1,0,0,10,-1,6,1,2,2,3,3,1,0,1,1
23,23,Dasarahalli (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Central college ,Friend,Dasarahalli 560057,Home,11:00:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,20,Two-Wheeler ,10,1.5 km to 2 km ,,For both access and egress trips ,5.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,"10,001 – 25,000",0.0,3,0,0,0,10,-1,7,1,2,1,3,2,3,0,1,3
24,24,Mahalakshmi (green line),Baiyappanahalli (purple line),"Ramurthinagar,gopalan arcade",Shopping,"Mahalaxmi,kurubruhalli",Home,08:30:00,Metro ,105,Ola/Uber car ,15,3.5 km to 4 km ,5,Ola/Uber car ,20,4.5 km to 5 km ,6.0,For access trip only ,,,No ,38,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"10,001 – 25,000",0.0,0,0,0,0,10,-1,4,1,1,1,9,6,2,0,6,6
25,25,Baiyappanahalli (purple line),Jayanagar (green line),Jayanagar 4th block ,Shopping,"Seegehalli, lake mount school",Home,10:10:00,Bus + Metro ,120,Walk ,10,0.5 to 1 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5.0,0.0,No ,100,Very high crowding - All seats AND most standing space occupied ,Female,Not eligible ,Metro ,Metro ,26-35yrs ,Graduate,Unemployed,,1.0,1,0,0,0,10,-1,4,1,2,2,3,3,1,0,1,1
29,29,Kengeri (purple line),Baiyappanahalli (purple line),Byappanahalli Whitefield nexus mall,Other,Kengeri christ college,Home,10:30:00,Bus + Metro ,120,Walk ,5,0.5 to 1 km ,20,Auto Rickshaw ,20,4 km to 4.5 km ,5.0,For both access and egress trips ,5.0,5.0,Metro card ,400,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,8,1,2,1,3,10,3,0,1,5
32,32,Sandal Soap Factory (green line),Indiranagar (purple line),"Indranagar,truffles",Restaurant,"Sandalsoap, Orion mall",Home,11:10:00,Metro ,60,Walk ,15,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,0,0,0,0,10,-1,5,1,1,1,4,1,1,0,1,1
33,33,Vijayanagar (purple line),Baiyappanahalli (purple line),Byappanahalli tin factory ,Home,Vijaynagar karyasiddi temple,Social,11:30:00,Metro + Bus ,90,Auto Rickshaw ,20,3 km to 3.5 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,3.0,15.0,Metro card ,200,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"50,001 – 1,00,000",2.0,1,0,0,0,10,-1,1,6,3,2,5,3,3,0,5,1
36,36,Silk Institute (green line),Rajarajeshwari Nagar (purple line),Rajarajeshwari Temple ,Social,"Somanahalli,near government school",Home,11:30:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For both access and egress trips ,5.0,3.0,Mobility card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,Postgraduate,Unemployed,,0.0,1,1,0,0,10,-1,6,1,2,1,3,1,3,0,1,1
37,37,Baiyappanahalli (purple line),Mantri Square Sampige Road (green line),Mantri square malleswaram 18th,Shopping,Marathalli kalamandir,Home,11:30:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,2,Walk ,25,1.5 km to 2 km ,,For both access and egress trips ,10.0,5.0,Metro card ,0,No crowding  - Most ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,4,1,2,2,1,2,3,0,1,1
38,38,Pattandur Agrahara (purple line),Mahalakshmi (green line),Iskon temple,Social,"Ecc road,kadugudi",Home,11:30:00,Metro1 + Bus + Metro2 ,60,Auto Rickshaw ,5,2 km to 2.5 km ,2,Walk ,2,< 0.5 km ,,For access trip only ,2.0,2.0,No ,125,No crowding  - 25-50% of seats occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,0,0,0,0,10,-1,6,1,5,1,11,1,2,0,5,1
40,40,Vajarahalli (green line),Konanakunte Cross (green line),Foram mall,Shopping,"Mallasandhra, holiday village road",Home,12:10:00,Metro ,10,Two-Wheeler ,10,1.5 km to 2 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,0,0,0,10,-1,4,1,1,1,2,3,3,0,3,1
42,42,Thalaghattapura (green line),Chickpet (green line),Thalaghattapura near police station ,Home,"Chicpete, sunday bazar",Shopping,12:10:00,Metro ,25,Walk ,10,0.5 to 1 km ,0,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,1.0,2,0,0,0,10,-1,1,4,1,2,3,1,1,0,1,1
44,44,Halasuru (purple line),Jayanagar (green line),Jayanagar Carmel convent ,Home,Indiranagar revive hospital ,Other,00:00:00,Metro + Bus ,60,Walk ,5,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,10.0,5.0,No ,80,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,10th,Daily,,0.0,0,0,0,0,10,-1,1,8,3,1,1,3,1,0,1,1
45,45,Indiranagar (purple line),Lalbagh (green line),Lalbagh ,Other,"Tipsandra,ganapthi temple",Other,11:45:00,Bus + Metro ,90,Walk ,20,2 km to 2.5 km ,15,Walk ,5,< 0.5 km ,,For access trip only ,1.0,8.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,8,8,2,1,11,1,2,0,1,1
46,46,Jayaprakash Nagar (green line),Krishna Rajendra Market (green line),"KR Market, poorvika showroom ",Work,"JP nagar, ramakrishna nagar, near pillar no 71",Home,12:20:00,Metro ,20,Walk ,5,< 0.5 km ,8,Walk ,3,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,2,1,1,1,1,1,3,0,1,1
48,48,Baiyappanahalli (purple line),Vijayanagar (purple line),Vijaynagar police station ,Work,Kr puram police quarters ,Home,12:00:00,Bus + Metro ,40,Walk ,5,0.5 to 1 km ,2,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,1.0,5.0,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,2,1,2,2,3,1,1,0,1,1
51,51,Jayaprakash Nagar (green line),Nagasandra (green line),"Ikea, nagasandra ",Shopping,"Dollars colony,  4th phase JP nagar",Home,12:30:00,Metro ,60,Auto Rickshaw ,15,2.5 km to 3 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,57,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,0,1,0,0,10,-1,4,1,1,2,7,1,1,0,5,1
52,52,Attiguppe (purple line),Konanakunte Cross (green line),"Konankunte,forum mall",Shopping,"Attigupe,nagabhavi circle",Home,12:15:00,Metro ,30,Two-Wheeler ,5,1 km to 1.5 km ,7,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Unemployed,,2.0,3,1,0,0,10,-1,4,1,1,2,4,1,1,0,3,1
56,56,Pantharapalya - Nayandahalli (purple line),Mahatma Gandhi Road (purple line),Commercial Street ,Shopping,"Nayandahalli,divinity mall",Home,12:15:00,Metro ,20,Walk ,2,< 0.5 km ,5,Ola/Uber car ,15,1.5 km to 2 km ,4.0,For egress trip only ,,,No ,80,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Student,,0.0,2,0,0,0,10,-1,4,1,1,1,1,2,4,0,1,6
57,57,Baiyappanahalli (purple line),Cubbon Park (purple line),Commercial street,Shopping,Kadbeesanahalli JP morgan,Home,10:15:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,5,Auto Rickshaw ,20,2 km to 2.5 km ,5.0,For both access and egress trips ,5.0,5.0,No ,100,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,4,1,2,1,3,11,3,0,1,5
59,59,Baiyappanahalli (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Market, ",Shopping,"Hoskote, mvj medical College ",Home,14:00:00,Bus1 + Bus2 ,30,Dropped-off by friends/others ,5,2.5 km to 3 km ,5,Walk ,10,2 km to 2.5 km ,,For neither access nor egress trips ,2.0,2.0,No ,35,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus ,18-25yrs ,Graduate,Student,"10,001 – 25,000",0.0,2,0,0,0,10,-1,4,1,0,1,7,11,1,0,8,1
61,61,Jayanagar (green line),Mahatma Gandhi Road (purple line),Brigade meadows silk institute ,Home,Church Street mg roaad,Shopping,13:20:00,Metro + Bus ,60,Walk ,5,< 0.5 km ,7,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,1.0,5.0,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,10th,Student,,1.0,0,0,0,0,10,-1,1,4,3,1,1,1,1,0,1,1
65,65,Yeshwanthpur (green line),Krishna Rajendra Market (green line),"Chamarajapete, rameshwara temple",Home,Iscon temple,Social,14:05:00,Bus1 + Metro + Bus2 ,60,Walk ,15,3 km to 3.5 km ,5,Walk ,15,1.5 km to 2 km ,,For both access and egress trips ,5.0,8.0,No ,25,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,,0.0,0,0,0,0,10,-1,1,6,4,1,5,2,3,0,1,1
68,68,Trinity (purple line),Lalbagh (green line),"Lalbag, near kamath",Home,Ulsur lake,Shopping,14:00:00,Metro ,40,Walk ,25,1.5 km to 2 km ,5,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,No ,30,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,0,10,-1,1,4,1,1,2,3,3,0,1,1
69,69,Mantri Square Sampige Road (green line),Baiyappanahalli (purple line),"CV Raman nagar,",Home,Mantri square,Shopping,15:05:00,Metro ,30,Walk ,0,< 0.5 km ,7,Two-Wheeler ,10,2 km to 2.5 km ,,For egress trip only ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,4,1,2,1,11,4,0,1,3
70,70,National College (green line),Mahatma Gandhi Road (purple line),Mg road church street,Shopping,Baswangudi doddaganapathi temple,Home,02:30:00,Metro ,30,Dropped-off by friends/others ,10,1.5 km to 2 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,2,1,0,0,10,-1,4,1,1,1,2,3,1,0,8,1
74,74,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Doddakallasandra (green line),"Gokulam , dhodakalsandhra",Home,"RT nagar, near ganesha temple, snow city",Friend,14:15:00,Metro ,120,Auto Rickshaw ,60,> 5 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,235,No crowding  - Most ,Female,,,Metro ,36-45 yrs ,Graduate,Employed,"25,001 – 50,000",1.0,1,0,0,0,10,-1,1,7,1,3,8,1,1,0,5,1
76,76,South End Circle (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)","Avenue road, sudharshan silk ",Home,"Southend circle,Starbucks ",Other,11:45:00,Metro ,25,Walk ,10,0.5 to 1 km ,4,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,1.0,2,1,0,0,10,-1,1,8,1,1,3,3,3,0,1,1
81,81,Doddakallasandra (green line),Cubbon Park (purple line),"Cubban park , commercial Street ",Shopping,"Dhodakalasandra, near hill side college ",Home,15:30:00,Metro ,35,Walk ,15,0.5 to 1 km ,2,Auto Rickshaw ,5,1.5 km to 2 km ,5.0,For egress trip only ,,,Metro card ,50,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,0,0,0,10,-1,4,1,1,1,3,2,4,0,1,5
84,84,Konanakunte Cross (green line),Baiyappanahalli (purple line),Byappanahalli Whitefield MVG eng college ,Home,Konankunte forum mall,Friend,15:30:00,Metro + Bus ,120,Walk ,6,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,15.0,15.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,36-45yrs ,Graduate,Unemployed,,0.0,1,0,0,0,10,-1,1,7,3,3,3,3,1,0,1,1
85,85,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Mahatma Gandhi Road (purple line),"Mg road, chruch street ",Shopping,"Marathahalli, Brookfield ",Other,15:00:00,Bus + Metro ,120,Walk ,5,0.5 to 1 km ,7,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5.0,6.0,No ,58,High crowding - All seats AND 50-75% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,,0.0,0,0,0,0,10,-1,4,8,2,1,3,1,1,0,1,1
87,87,Jayanagar (green line),Chickpet (green line),Chikpett Sunday bazar,Shopping,Arekere ,Home,15:30:00,Metro ,40,Walk ,5,< 0.5 km ,6,Two-Wheeler ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,4,1,1,2,1,1,1,0,1,3
88,88,Sandal Soap Factory (green line),Mahatma Gandhi Road (purple line),Mg road,Shopping,Shivajinagar bus stop,Home,15:45:00,Metro ,30,Auto Rickshaw ,15,3.5 km to 4 km ,5,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,100,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,4,1,1,1,9,1,1,0,5,1
90,90,Mantri Square Sampige Road (green line),Mahatma Gandhi Road (purple line),"Mg road,church street 

",Shopping,Mantri square ,Shopping,16:15:00,Metro ,20,Walk ,3,< 0.5 km ,0,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,No ,19,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,0,0,0,0,10,-1,4,4,1,1,1,1,1,0,1,1
92,92,Jalahalli (green line),Baiyappanahalli (purple line),Byappanahalli Whitefield hopefam,Other,Jalahalli metro station came from tumkur,Other,16:00:00,Metro1 + Bus + Metro2 ,120,Walk ,5,< 0.5 km ,5,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,5.0,2.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,8,8,5,1,1,3,3,0,1,1
95,95,Jalahalli (green line),Mantri Square Sampige Road (green line),Mantri square ,Shopping,Shettyhalli,Home,16:30:00,Metro ,50,Auto Rickshaw ,15,1 km to 1.5 km ,7,Walk ,0,< 0.5 km ,,For egress trip only ,,,No ,110,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,2,0,0,0,10,-1,4,1,1,1,4,1,4,0,5,1
96,96,Jalahalli (green line),Vijayanagar (purple line),"Vijaynagar, maruthi mandir",Home,"Jalahalli cross, radhika cafe",Restaurant,16:30:00,Metro ,30,Walk ,10,0.5 to 1 km ,7,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,1,5,1,1,3,3,1,0,1,1
97,97,Jalahalli (green line),Yelachenahalli (green line),"Yelanahanchahalli,naturals saloon ",Social,"Jalahalli,",Home,16:50:00,Metro ,45,Walk ,5,< 0.5 km ,6,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,No ,55,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,1,1,0,0,10,-1,6,1,1,1,1,3,3,0,1,1
99,99,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Mysore Road (purple line),Kengeri anchepalya,Work,Chimnaswamy Majestic ,Friend,16:15:00,Metro ,60,Auto Rickshaw ,12,2.5 km to 3 km ,5,Auto Rickshaw ,5,3 km to 3.5 km ,4.0,For neither access nor egress trips ,,,Metro card ,300,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,7,1,1,7,5,1,0,5,5
101,101,Baiyappanahalli (purple line),Deepanjali Nagar (purple line),"Deepanjali nagar, ",Friend,Byapanahalli,Friend,16:30:00,Metro ,45,Dropped-off by friends/others ,5,1.5 km to 2 km ,5,Dropped-off by friends/others ,20,> 5 km ,5.0,For neither access nor egress trips ,,,No ,45,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Unemployed,,0.0,1,0,0,0,10,-1,7,7,1,1,2,8,1,0,8,8
104,104,Jalahalli (green line),Jayanagar (green line),BDS complex ,Shopping,Jalahalli cross bus stop,Other,17:15:00,Metro ,45,Walk ,10,0.5 to 1 km ,6,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,45,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,1,1,0,0,10,-1,4,8,1,1,3,1,3,0,1,1
106,106,Mantri Square Sampige Road (green line),Baiyappanahalli (purple line),Kr pura sri sai enclave apartments ,Home,Mantri square sheshadripuram pu college ,Other,17:15:00,Metro + Bus ,150,Walk ,10,0.5 to 1 km ,4,Walk ,12,0.5 to 1 km ,,For both access and egress trips ,5.0,2.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Unemployed,,0.0,2,0,0,0,10,-1,1,8,3,1,3,3,3,0,1,1
