,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
10,Baiyappanahalli (purple line),Mahatma Gandhi Road (purple line),JD school of design ,School,"Banswadi, anjaneya temple ",Home,09:00:00,Metro ,40,Two-Wheeler ,10,1 km to 1.5 km ,5,Walk ,2,< 0.5 km ,,For access trip only ,,,No ,20,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,,1,0,0,"No, I will not use a bicycle. .",5,3,3,1,1,1,4,1,2,1,3,1
11,Baiyappanahalli (purple line),Mahatma Gandhi Road (purple line),Dairy circle ,Work,"Bangarpette,Beml nagar ",Home,07:30:00,Metro + Bus ,180,Walk ,5,< 0.5 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,5,30,Metro card ,15,Very high crowding - All seats AND most standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Trade,Employed,"50,001 – 1,00,000",0.0,0,0,0,"No, I will not use a bicycle. .",5,3,2,1,3,4,1,1,1,1,1,1
12,Jayanagar (green line),Doddakallasandra (green line),"Bes ladies hostel ,jaynagar 4th ",Other,"Doddakalsnadra , college ",School,09:30:00,Metro ,50,Walk ,10,0.5 to 1 km ,6,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,8,3,1,1,3,3,1,0,1,1
13,Jayanagar (green line),Vajarahalli (green line),Vajarahalli ksit college,Work,Nexus mall koramangala,Home,09:00:00,Metro ,45,Auto Rickshaw ,20,> 5 km ,5,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,Metro card ,80,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,1,8,3,4,0,5,1
14,Halasuru (purple line),Sandal Soap Factory (green line),"Yeshwantpur, near railway station ",Work,Halsur metro station ,Home,09:30:00,Metro ,40,Walk ,3,< 0.5 km ,3,Ola/Uber car ,3,0.5 to 1 km ,2,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,2,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,2,1,3,1,1,1,6
15,Baiyappanahalli (purple line),Rajarajeshwari Nagar (purple line),"Pattanagere,Krishna garden ",Work,Kalyan nagar police station ,Friend,09:15:00,Metro ,45,Two-Wheeler ,10,2.5 km to 3 km ,10,Two-Wheeler ,10,2.5 km to 3 km ,,For both access and egress trips ,,,No ,50,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"10,001 – 25,000",1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,7,1,2,7,7,3,1,3,3
16,Konanakunte Cross (green line),Vijayanagar (purple line),Vijayanagar bus stop ,Work,Gortigiri,Work,09:15:00,Metro ,75,Walk ,5,< 0.5 km ,5,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,No ,38,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,10th,Daily,"<=10,000",0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,5,4,2,2,1,2,1,1,1,1,1,1
17,Magadi Road (purple line),Mysore Road (purple line),"Nayandalli, near PES college ",Work,Near magadi road metro station ,Home,09:40:00,Metro ,30,Walk ,3,< 0.5 km ,2,Auto Rickshaw ,10,1.5 km to 2 km ,0,For both access and egress trips ,,,No ,20,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,4,1,2,3,1,1,5
18,Baiyappanahalli (purple line),Pattanagere (purple line),Bgs global college ,Work,"Kammandahalli,KFC ",Home,09:00:00,Metro ,60,Two-Wheeler ,15,3.5 km to 4 km ,2,Two-Wheeler ,7,1.5 km to 2 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,Car - from origin to destiantion ,18-25 yrs ,Postgraduate,Student,"1,00,001 – 2,00,000",2.0,4,1,0,"No, I will not use a bicycle. .",5,3,2,1,1,1,9,2,3,1,3,3
19,Peenya (green line),Mysore Road (purple line),PES University ,School,"Samruddhi, opposite SJM college, tharikere",Home,05:40:00,Metro + Bus ,300,Car ,250,> 5 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,3,5,No ,47,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"No, I will not use a bicycle. .",5,3,3,1,3,1,8,3,1,1,4,1
20,Yelachenahalli (green line),National College (green line),National College ,School,Yelchanahalli paka shaala,Home,09:55:00,Metro ,25,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,3,1,1,1,3,3,2,0,1,1
21,Yelachenahalli (green line),Jayanagar (green line),"Nmkrv college,",School,"Ashrama road, yelchenahalli ",Home,09:55:00,Metro ,30,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,"1,00,001 – 2,00,000",0.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,3,1,1,1,1,1,1,0,1,1
22,Banashankari (green line),"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)",Rajarajeshwari Industrial area ,Work,Madiwala residential area,Home,09:00:00,Metro ,90,Dropped-off by friends/others ,30,> 5 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,3,8,1,1,1,8,1
23,Trinity (purple line),Pattanagere (purple line),Global tech Village ,Work,Marathalli bus stop ,Home,08:00:00,Bus + Metro ,140,Walk ,5,< 0.5 km ,5,Company shuttle bus,10,2.5 km to 3 km ,5,For neither access nor egress trips ,6,5,Metro card ,20,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,1,0,"No, I will not use a bicycle. .",5,3,2,1,2,2,1,7,1,1,1,9
24,Yelachenahalli (green line),Jayanagar (green line),City college jayanagar ,School,Ashraya school ,Home,10:10:00,Metro ,20,Walk ,5,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,0.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,3,1,1,1,1,1,3,0,1,1
25,Yelachenahalli (green line),Jayanagar (green line),"National college, jaynagar 7th block",School,"Shivganga melody,",Home,10:10:00,Metro ,25,Walk ,8,0.5 to 1 km ,6,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Student,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,3,1,1,1,3,1,3,0,1,1
26,Vijayanagar (purple line),Kengeri (purple line),"Ramohalli, om shakti traders",Work,Rajajinagar 1st block ,Home,09:30:00,Metro ,90,Two-Wheeler ,15,> 5 km ,1,Two-Wheeler ,30,> 5 km ,,For both access and egress trips ,,,Metro card ,30,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,12th,Business,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,1,1,3,8,8,3,0,3,3
27,Deepanjali Nagar (purple line),Jalahalli (green line),Jalahalli metro station,Friend,Kavika layout deepanjali,Home,08:33:00,Metro ,45,Walk ,2,< 0.5 km ,1,Walk ,1,< 0.5 km ,,For access trip only ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,"50,001 – 1,00,000",2.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,7,1,1,1,1,1,2,1,1,1
28,Yelachenahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Ksrtc terminal office ,Work,Jp nagar 8th phase,Home,09:55:00,Metro ,60,Dropped-off by friends/others ,15,3.5 km to 4 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,2,1,1,3,9,3,1,0,8,1
29,Yelachenahalli (green line),Magadi Road (purple line),Arogya soudha,Other,"Yelchenahalli,brigade palmspring",Home,10:15:00,Metro ,60,Dropped-off by friends/others ,10,2 km to 2.5 km ,6,Auto Rickshaw ,10,1.5 km to 2 km ,5,For neither access nor egress trips ,,,Metro card ,100,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",5,3,8,1,1,1,11,2,1,0,8,5
30,Kengeri (purple line),Vijayanagar (purple line),MES Rajajinagar ,School,Kumlugodu,Home,10:15:00,Bus1 + Metro + Bus2 ,60,Walk ,15,1 km to 1.5 km ,10,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5,5,Student pass ,0,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,3,1,4,1,4,1,1,1,1,1
31,Kengeri Bus Terminal (purple line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Bank of India near central college ,Other,Kengeri bus terminal from (ramanagara),Other,10:35:00,Metro ,25,Walk ,5,< 0.5 km ,2,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,37,No crowding  - 25-50% of seats occupied ,Male,,I will not make this trip ,I was using same mode as reported for this trip ,36-45 yrs ,10th,Business,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,8,8,1,3,1,1,1,1,1,1
32,Trinity (purple line),Rajarajeshwari Nagar (purple line),Rr nagar,Other,Trinity ,Home,10:20:00,Metro ,30,Walk ,13,1 km to 1.5 km ,4,Walk ,20,1 km to 1.5 km ,,For neither access nor egress trips ,,,No ,45,No crowding - Less than 25% of seats occupied ,Male,,Two-Wheeler - from origin to destiantion ,Bus,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,8,1,1,2,4,4,1,1,1,1
33,Pantharapalya - Nayandahalli (purple line),Mahatma Gandhi Road (purple line),City Bank opposite ,Work,"Divinity appartment, nayandalli ",Home,08:30:00,Metro ,45,Car ,10,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,1,1,1,2,1,4,1
34,Pantharapalya - Nayandahalli (purple line),Swami Vivekananda Road (purple line),"Bellandur, eco space ",Work,"Nayandhalli, (kerala)",Other,10:40:00,Metro ,120,Walk ,5,< 0.5 km ,1,Ola/Uber car ,60,> 5 km ,5,For neither access nor egress trips ,,,Metro card ,300,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,8,1,2,1,8,1,1,1,6
35,Rajarajeshwari Nagar (purple line),Baiyappanahalli (purple line),"Whitefield,prestige shantiniketan ",Work,"Jayanna circle, rajarajeshwari nagar ",Home,10:30:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,5,Car ,40,> 5 km ,,For access trip only ,7,10,Metro card ,5,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,1,2,3,1,8,2,1,1,4
36,Jayaprakash Nagar (green line),Srirampura (green line),9 plus saloon,Work,Jp nagar metro station ,Friend,10:15:00,Metro ,45,Walk ,5,< 0.5 km ,4,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,2,7,1,1,1,3,1,0,1,1
37,Jayaprakash Nagar (green line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Mount Carmel college ,School,"Rajkumar statue ,JP nagar",Home,10:45:00,Metro ,40,Walk ,8,< 0.5 km ,6,Auto Rickshaw ,10,2 km to 2.5 km ,5,For egress trip only ,,,Metro card ,20,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,3,1,1,1,1,11,4,0,1,5
38,Mysore Road (purple line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Indian express circle ,Work,"Katriguppe,near Nadi Empire ",Home,09:00:00,Bus + Metro ,90,Walk ,20,1.5 km to 2 km ,1,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5,5,Mobility card ,19,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,2,4,2,3,3,1,1,1
39,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Kengeri Bus Terminal (purple line),Kengeri,Other,Chamrajpet,Home,09:00:00,Metro ,40,Two-Wheeler ,20,> 5 km ,5,Walk ,2,< 0.5 km ,,For access trip only ,,,No ,38,No crowding  - 25-50% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Business,"10,001 – 25,000",0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,8,1,1,1,8,1,2,1,3,1
40,Jayaprakash Nagar (green line),Kengeri Bus Terminal (purple line),Kengeri satellite bus stand,Work,BTM 4th stage Bannergatta road,Home,10:30:00,Metro ,60,Two-Wheeler ,10,4 km to 4.5 km ,2,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,30,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,2,1,1,2,10,3,3,1,3,1
41,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),"Near new horizon college, embassy tech village ",Work,Majestic (mysore),Other,11:00:00,"Metro1,bus2,bus2",90,Walk ,5,< 0.5 km ,1,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5,10,Metro card ,30,No crowding  - Most ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,8,0,2,1,3,3,1,1,1
42,"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)",Hoodi (purple line),"Hoodi bus stop, gopalan apartments ",Work,"Rajajinagar, industrial town",Home,10:45:00,Metro ,90,Walk ,10,0.5 to 1 km ,2,Walk ,3,< 0.5 km ,,For access trip only ,,,No ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,2,1,1,2,3,1,2,1,1,1
43,Pattanagere (purple line),Baiyappanahalli (purple line),"Ayyappa nagar,Sea college ",Work,Jaynagar 5th block ,Home,11:00:00,Metro ,80,Walk ,10,0.5 to 1 km ,2,Two-Wheeler ,15,3.5 km to 4 km ,,For access trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Postgraduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,2,1,1,3,3,9,2,1,1,3
44,Krishna Rajendra Market (green line),Jnanabharathi (purple line),"Mariappanpalya , jnanabarathi 2nd block ",Home,"Victoria hospital, K R market",Other,10:40:00,Metro ,45,Walk ,5,< 0.5 km ,0,Two-Wheeler ,10,3 km to 3.5 km ,,For both access and egress trips ,,,Metro card ,30,No crowding  - 50-75% of seats occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,1,8,1,4,1,5,3,1,1,3
45,Banashankari (green line),Nagasandra (green line),Nagasandra near metro,Friend,Near Dayanand sagar college ,Home,10:45:00,Bus + Metro ,50,Walk ,7,0.5 to 1 km ,5,Dropped-off by friends/others ,10,2 km to 2.5 km ,3,For access trip only ,5,5,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,7,1,2,1,3,11,2,0,1,8
46,Banashankari (green line),Rajajinagar (green line),Basveshwar nagar post office ,Home,Near Ragiguda temple,School,11:00:00,Bus + Metro ,35,Walk ,2,< 0.5 km ,3,Auto Rickshaw ,5,2 km to 2.5 km ,4,For egress trip only ,3,7,Metro card ,30,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,1,3,2,1,1,11,4,0,1,5
