,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK,DESTINATION,ORIGIN,TRIP,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,AGE_NEW,MALE,ACCESS,EGRESS
24,24,Mahalakshmi (green line),Baiyappanahalli (purple line),"Ramurthinagar,gopalan arcade",Shopping,"Mahalaxmi,kurubruhalli",Home,08:30:00,Metro ,105,Ola/Uber car ,15,3.5 km to 4 km ,5,Ola/Uber car ,20,4.5 km to 5 km ,6.0,For access trip only ,,,No ,38,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"10,001 – 25,000",0.0,0,0,0,1,1,4,1,1,9,6,2,2,0,6,6
25,25,Baiyappanahalli (purple line),Jayanagar (green line),Jayanagar 4th block ,Shopping,"Seegehalli, lake mount school",Home,10:10:00,Bus + Metro ,120,Walk ,10,0.5 to 1 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5.0,0.0,No ,100,Very high crowding - All seats AND most standing space occupied ,Female,Not eligible ,Metro ,Metro ,26-35yrs ,Graduate,Unemployed,,1.0,1,0,0,1,1,4,1,2,3,3,1,0,0,1,1
29,29,Kengeri (purple line),Baiyappanahalli (purple line),Byappanahalli Whitefield nexus mall,Other,Kengeri christ college,Home,10:30:00,Bus + Metro ,120,Walk ,5,0.5 to 1 km ,20,Auto Rickshaw ,20,4 km to 4.5 km ,5.0,For both access and egress trips ,5.0,5.0,Metro card ,400,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,1,1,8,1,2,3,10,3,0,0,1,4
32,32,Sandal Soap Factory (green line),Indiranagar (purple line),"Indranagar,truffles",Restaurant,"Sandalsoap, Orion mall",Home,11:10:00,Metro ,60,Walk ,15,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,0,0,0,1,1,5,1,1,4,1,1,2,0,1,1
36,36,Silk Institute (green line),Rajarajeshwari Nagar (purple line),Rajarajeshwari Temple ,Social,"Somanahalli,near government school",Home,11:30:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For both access and egress trips ,5.0,3.0,Mobility card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,Postgraduate,Unemployed,,0.0,1,1,0,1,1,6,1,2,3,1,3,0,0,1,1
37,37,Baiyappanahalli (purple line),Mantri Square Sampige Road (green line),Mantri square malleswaram 18th,Shopping,Marathalli kalamandir,Home,11:30:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,2,Walk ,25,1.5 km to 2 km ,,For both access and egress trips ,10.0,5.0,Metro card ,0,No crowding  - Most ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,0,0,0,1,1,4,1,2,1,2,3,0,0,1,1
38,38,Pattandur Agrahara (purple line),Mahalakshmi (green line),Iskon temple,Social,"Ecc road,kadugudi",Home,11:30:00,Metro1 + Bus + Metro2 ,60,Auto Rickshaw ,5,2 km to 2.5 km ,2,Walk ,2,< 0.5 km ,,For access trip only ,2.0,2.0,No ,125,No crowding  - 25-50% of seats occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,0,0,0,1,1,6,1,5,11,1,2,0,0,4,1
40,40,Vajarahalli (green line),Konanakunte Cross (green line),Foram mall,Shopping,"Mallasandhra, holiday village road",Home,12:10:00,Metro ,10,Two-Wheeler ,10,1.5 km to 2 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,0,0,1,1,4,1,1,2,3,3,2,0,0,1
46,46,Jayaprakash Nagar (green line),Krishna Rajendra Market (green line),"KR Market, poorvika showroom ",Work,"JP nagar, ramakrishna nagar, near pillar no 71",Home,12:20:00,Metro ,20,Walk ,5,< 0.5 km ,8,Walk ,3,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,0.0,0,0,0,1,1,2,1,1,1,1,3,2,0,1,1
48,48,Baiyappanahalli (purple line),Vijayanagar (purple line),Vijaynagar police station ,Work,Kr puram police quarters ,Home,12:00:00,Bus + Metro ,40,Walk ,5,0.5 to 1 km ,2,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,1.0,5.0,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,1,1,2,1,2,3,1,1,0,0,1,1
51,51,Jayaprakash Nagar (green line),Nagasandra (green line),"Ikea, nagasandra ",Shopping,"Dollars colony,  4th phase JP nagar",Home,12:30:00,Metro ,60,Auto Rickshaw ,15,2.5 km to 3 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,57,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,0,1,0,1,1,4,1,1,7,1,1,3,0,4,1
52,52,Attiguppe (purple line),Konanakunte Cross (green line),"Konankunte,forum mall",Shopping,"Attigupe,nagabhavi circle",Home,12:15:00,Metro ,30,Two-Wheeler ,5,1 km to 1.5 km ,7,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Unemployed,,2.0,3,1,0,1,1,4,1,1,4,1,1,3,0,0,1
56,56,Pantharapalya - Nayandahalli (purple line),Mahatma Gandhi Road (purple line),Commercial Street ,Shopping,"Nayandahalli,divinity mall",Home,12:15:00,Metro ,20,Walk ,2,< 0.5 km ,5,Ola/Uber car ,15,1.5 km to 2 km ,4.0,For egress trip only ,,,No ,80,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Student,,0.0,2,0,0,1,1,4,1,1,1,2,4,2,0,1,6
57,57,Baiyappanahalli (purple line),Cubbon Park (purple line),Commercial street,Shopping,Kadbeesanahalli JP morgan,Home,10:15:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,5,Auto Rickshaw ,20,2 km to 2.5 km ,5.0,For both access and egress trips ,5.0,5.0,No ,100,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,0.0,0,0,0,1,1,4,1,2,3,11,3,0,0,1,4
59,59,Baiyappanahalli (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Market, ",Shopping,"Hoskote, mvj medical College ",Home,14:00:00,Bus1 + Bus2 ,30,Dropped-off by friends/others ,5,2.5 km to 3 km ,5,Walk ,10,2 km to 2.5 km ,,For neither access nor egress trips ,2.0,2.0,No ,35,No crowding  - 50-75% of seats occupied ,Female,Yes ,Bus + Metro ,Bus ,18-25yrs ,Graduate,Student,"10,001 – 25,000",0.0,2,0,0,1,1,4,1,0,7,11,1,0,0,0,1
70,70,National College (green line),Mahatma Gandhi Road (purple line),Mg road church street,Shopping,Baswangudi doddaganapathi temple,Home,02:30:00,Metro ,30,Dropped-off by friends/others ,10,1.5 km to 2 km ,5,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,2,1,0,1,1,4,1,1,2,3,1,2,0,0,1
81,81,Doddakallasandra (green line),Cubbon Park (purple line),"Cubban park , commercial Street ",Shopping,"Dhodakalasandra, near hill side college ",Home,15:30:00,Metro ,35,Walk ,15,0.5 to 1 km ,2,Auto Rickshaw ,5,1.5 km to 2 km ,5.0,For egress trip only ,,,Metro card ,50,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,0,0,1,1,4,1,1,3,2,4,2,0,1,4
87,87,Jayanagar (green line),Chickpet (green line),Chikpett Sunday bazar,Shopping,Arekere ,Home,15:30:00,Metro ,40,Walk ,5,< 0.5 km ,6,Two-Wheeler ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,1,1,4,1,1,1,1,1,3,0,1,0
88,88,Sandal Soap Factory (green line),Mahatma Gandhi Road (purple line),Mg road,Shopping,Shivajinagar bus stop,Home,15:45:00,Metro ,30,Auto Rickshaw ,15,3.5 km to 4 km ,5,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,100,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,1,1,4,1,1,9,1,1,2,0,4,1
95,95,Jalahalli (green line),Mantri Square Sampige Road (green line),Mantri square ,Shopping,Shettyhalli,Home,16:30:00,Metro ,50,Auto Rickshaw ,15,1 km to 1.5 km ,7,Walk ,0,< 0.5 km ,,For egress trip only ,,,No ,110,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,2,0,0,1,1,4,1,1,4,1,4,2,0,4,1
97,97,Jalahalli (green line),Yelachenahalli (green line),"Yelanahanchahalli,naturals saloon ",Social,"Jalahalli,",Home,16:50:00,Metro ,45,Walk ,5,< 0.5 km ,6,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,No ,55,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,1,1,0,1,1,6,1,1,1,3,3,2,0,1,1
107,107,Yeshwanthpur (green line),Cubbon Park (purple line),"Cubbon park,idc",Friend,"Yeshwantpur,govardhan theatre ",Home,17:00:00,Metro ,60,Walk ,10,0.5 to 1 km ,5,Auto Rickshaw ,20,1.5 km to 2 km ,4.0,For both access and egress trips ,,,Metro card ,80,No crowding - Less than 25% of seats occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,1,1,7,1,1,3,2,3,3,0,1,4
113,113,Jalahalli (green line),Nagasandra (green line),"DEBANJANA College,  nagasandra ",School,Jalahalli near smart point store,Home,08:00:00,Metro ,40,Walk ,15,0.5 to 1 km ,2,Walk ,20,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,0,0,0,1,1,3,1,1,3,3,1,2,0,1,1
114,114,Nagasandra (green line),Rajajinagar (green line),"Akash coaching centre, rajajinagar",School,Prestige appartment in nagasandra ,Home,08:35:00,Metro ,60,Two-Wheeler ,6,4.5 km to 5 km ,3,Walk ,3,< 0.5 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,10th,Student,"1,00,001 – 2,00,000",1.0,2,1,0,1,1,3,1,1,6,1,2,2,0,0,1
118,118,Vijayanagar (purple line),Vajarahalli (green line),"560062, raguvanahalli",Work,"Vijaynagar,  560040",Home,08:30:00,Metro ,90,Auto Rickshaw ,30,4.5 km to 5 km ,2,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,30,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,1,1,2,1,1,6,3,1,3,0,4,1
123,123,Silk Institute (green line),Jalahalli (green line),"Near Carry foods, Jalahalli ",Friend,"Kagalupura, near ganapati temple ",Home,09:30:00,Metro ,60,Two-Wheeler ,15,4.5 km to 5 km ,0,Auto Rickshaw ,15,4.5 km to 5 km ,5.0,For neither access nor egress trips ,,,Mobility card ,100,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,26-35 yrs ,10th,Daily,"25,001 – 50,000",0.0,2,0,0,1,1,7,1,1,6,6,1,3,0,0,4
125,125,Baiyappanahalli (purple line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Commissioner office ,Work,Bayappanahalli kalkere,Home,09:15:00,Metro ,60,Auto Rickshaw ,25,> 5 km ,3,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Mobility card ,220,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,36-45 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1.0,2,1,0,1,1,2,1,1,8,3,3,1,0,4,1
126,126,Baiyappanahalli (purple line),Cubbon Park (purple line),"Ashok nagar,mc Donald's ",Work,"Mahadevpura,near shanimahatma temple ",Home,09:40:00,Bus + Metro ,70,Walk ,5,< 0.5 km ,1,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5.0,3.0,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,1.0,0,0,0,1,1,2,1,2,1,3,1,0,0,1,1
129,129,Indiranagar (purple line),Jayanagar (green line),Jayanagar 4th block,Work,Indiranagar cmh road,Home,10:00:00,Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,13,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,1.0,1,0,0,1,1,2,1,1,1,3,1,3,0,1,1
132,132,Cubbon Park (purple line),Magadi Road (purple line),Magadi road gt world mall,Work,Nagavara manyata tech park,Home,09:00:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,10,Walk ,15,1 km to 1.5 km ,,For neither access nor egress trips ,5.0,4.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,36-45yrs ,Graduate,Employed,,1.0,1,0,0,1,1,2,1,2,3,4,1,0,0,1,1
134,134,Konanakunte Cross (green line),Kengeri (purple line),"Kombalgude, rajaeshwari ",Work,Forum mall,Home,09:15:00,Metro + Bus ,90,Two-Wheeler ,5,1.5 km to 2 km ,10,Walk ,5,< 0.5 km ,,For both access and egress trips ,2.0,2.0,No ,100,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Eligible but do not use ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,2.0,0,0,0,1,1,2,1,3,2,1,3,0,0,0,1
136,136,"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)",Pattanagere (purple line),Global village rv college ,Work,Rajajinagar sugar fast food,Home,10:00:00,Bus + Metro ,50,Walk ,10,0.5 to 1 km ,5,Company cab,20,2 km to 2.5 km ,7.0,For both access and egress trips ,10.0,4.0,Metro card ,0,No crowding  - Most ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,1.0,1,0,0,1,1,2,1,2,3,11,3,0,0,1,0
140,140,Kengeri (purple line),Mahatma Gandhi Road (purple line),Mg road church street ,Other,Kengeri near metro station ,Home,10:30:00,Metro ,40,Walk ,10,0.5 to 1 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,1,1,8,1,1,3,1,1,2,0,1,1
142,142,Rajarajeshwari Nagar (purple line),Mahatma Gandhi Road (purple line),Mg road brigade road,School,Rr nagar gopal  all,Home,10:20:00,Bus + Metro ,60,Two-Wheeler ,15,1.5 km to 2 km ,15,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,15.0,7.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,2,0,0,1,1,3,1,2,2,3,1,0,0,0,1
143,143,Mantri Square Sampige Road (green line),Indiranagar (purple line),Texas review,Work,8th cross malleshwaram ,Home,11:00:00,Metro ,30,Dropped-off by friends/others ,5,0.5 to 1 km ,10,Walk ,15,1.5 km to 2 km ,,For neither access nor egress trips ,,,No ,30,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,1,1,2,1,1,3,2,1,2,0,0,1
144,144,Nagasandra (green line),Mahatma Gandhi Road (purple line),Mg road church street,School,Nagsandra ikea ,Home,10:30:00,Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,2.0,1,0,0,1,1,3,1,1,1,3,1,2,0,1,1
145,145,Jalahalli (green line),Cubbon Park (purple line),"Shivajinagara, coughs hospital ",Other,"Yelahanka, kG halli",Home,10:15:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,30,Auto Rickshaw ,15,2.5 km to 3 km ,6.0,For neither access nor egress trips ,5.0,6.0,Mobility card ,0,No crowding  - 50-75% of seats occupied ,Female,Yes ,Metro ,Metro ,26-35yrs ,Graduate,Unemployed,,0.0,0,0,0,1,1,8,1,2,1,7,1,0,0,1,4
147,147,Peenya (green line),Trinity (purple line),Trinity metro station ,Work,Peeny platinum city,Home,11:00:00,Metro ,60,Walk ,7,< 0.5 km ,5,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,1,1,2,1,1,1,1,1,2,0,1,1
152,152,Jalahalli (green line),Krishna Rajendra Market (green line),"Victoria hospital,  KR Market ",Other,Jalahalli cross bus stop (chalkere),Home,11:35:00,Metro ,30,Walk ,5,< 0.5 km ,6,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,No ,38,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,1,1,8,1,1,1,1,1,2,0,1,1
159,159,Indiranagar (purple line),Mahatma Gandhi Road (purple line),Mg road brigade road,Other,Indiranagar motherhood hospital ,Home,11:45:00,Metro ,45,Walk ,7,0.5 to 1 km ,5,Walk ,13,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Unemployed,,1.0,1,0,0,1,1,8,1,1,3,3,1,4,0,1,1
174,174,Halasuru (purple line),Mahatma Gandhi Road (purple line),Mg road sykdeck Sherlock ,Work,Joga palya,Home,00:00:00,Metro ,15,Walk ,20,1 km to 1.5 km ,4,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,1,1,2,1,1,4,3,3,3,0,1,1
184,184,Jayaprakash Nagar (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",SJM towers,Work,"JP nagar, near Saraki Market ",Home,13:00:00,Metro ,50,Walk ,10,0.5 to 1 km ,5,Walk ,15,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",1.0,0,0,0,1,1,2,1,1,3,3,3,3,0,1,1
188,188,Kengeri (purple line),National College (green line),"GC Rao academy ,National college ",Other,Kenchanpura cross ,Home,12:30:00,Bus + Metro ,90,Walk ,10,1 km to 1.5 km ,5,Walk ,15,1.5 km to 2 km ,,For both access and egress trips ,3.0,10.0,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,2,1,0,1,1,8,1,2,4,2,3,0,0,1,1
194,194,Pattanagere (purple line),Baiyappanahalli (purple line),Phoenix market city,Work,Harsha layout,Home,13:15:00,Metro ,45,Walk ,7,< 0.5 km ,9,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,1,1,2,1,1,1,3,1,3,0,1,1
217,217,Jalahalli (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic ,Other,"Jnana bharathi girls hostel, ",Home,13:30:00,Bus + Metro ,180,Walk ,5,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5.0,8.0,No ,35,No crowding  - 25-50% of seats occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,12th,Student,,0.0,0,0,0,1,1,8,1,2,1,1,1,0,0,1,1
235,235,Goraguntepalya (green line),Mahatma Gandhi Road (purple line),Mg road prestige delta building ,Work,Gokuldas enterprise ,Home,15:45:00,Metro ,75,Walk ,7,0.5 to 1 km ,5,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Mobility card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,1,1,2,1,1,3,3,1,2,0,1,1
